発注番号,商品番号,商品説明,商品個数,明細書発行日,商品単価,顧客番号,国名,発注種別
536852,22544,MINI JIGSAW SPACEBOY,24,2010-12-03 09:51:00,0.42,12686.0,France,5
536852,22539,MINI JIGSAW DOLLY GIRL,24,2010-12-03 09:51:00,0.42,12686.0,France,5
536852,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,10,2010-12-03 09:51:00,0.85,12686.0,France,5
536852,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,2010-12-03 09:51:00,1.25,12686.0,France,5
536852,21786,POLKADOT RAIN HAT ,24,2010-12-03 09:51:00,0.42,12686.0,France,5
536852,POST,POSTAGE,1,2010-12-03 09:51:00,18.0,12686.0,France,5
536974,15056BL,EDWARDIAN PARASOL BLACK,9,2010-12-03 13:59:00,5.95,12682.0,France,5
536974,15056P,EDWARDIAN PARASOL PINK,3,2010-12-03 13:59:00,5.95,12682.0,France,5
536974,20679,EDWARDIAN PARASOL RED,6,2010-12-03 13:59:00,5.95,12682.0,France,5
536974,21915,RED  HARMONICA IN BOX ,12,2010-12-03 13:59:00,1.25,12682.0,France,5
536974,22659,LUNCH BOX I LOVE LONDON,12,2010-12-03 13:59:00,1.95,12682.0,France,5
536974,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,12,2010-12-03 13:59:00,2.55,12682.0,France,5
536974,22892,SET OF SALT AND PEPPER TOADSTOOLS,12,2010-12-03 13:59:00,1.25,12682.0,France,5
536974,22027,TEA PARTY BIRTHDAY CARD,12,2010-12-03 13:59:00,0.42,12682.0,France,5
536974,20749,ASSORTED COLOUR MINI CASES,2,2010-12-03 13:59:00,7.95,12682.0,France,5
536974,20750,RED RETROSPOT MINI CASES,2,2010-12-03 13:59:00,7.95,12682.0,France,5
536974,21700,BIG DOUGHNUT FRIDGE MAGNETS,12,2010-12-03 13:59:00,0.85,12682.0,France,5
536974,22748,POPPY'S PLAYHOUSE KITCHEN,6,2010-12-03 13:59:00,2.1,12682.0,France,5
536974,22080,RIBBON REEL POLKADOTS ,10,2010-12-03 13:59:00,1.65,12682.0,France,5
536974,20725,LUNCH BAG RED RETROSPOT,10,2010-12-03 13:59:00,1.65,12682.0,France,5
536974,20726,LUNCH BAG WOODLAND,10,2010-12-03 13:59:00,1.65,12682.0,France,5
536974,POST,POSTAGE,2,2010-12-03 13:59:00,18.0,12682.0,France,5
537065,22837,HOT WATER BOTTLE BABUSHKA ,8,2010-12-05 11:57:00,4.65,12567.0,France,5
537065,22846,BREAD BIN DINER STYLE RED ,1,2010-12-05 11:57:00,16.95,12567.0,France,5
537065,22892,SET OF SALT AND PEPPER TOADSTOOLS,12,2010-12-05 11:57:00,1.25,12567.0,France,5
537065,22968,ROSE COTTAGE KEEPSAKE BOX ,8,2010-12-05 11:57:00,8.5,12567.0,France,5
537065,84678,CLASSICAL ROSE SMALL VASE,6,2010-12-05 11:57:00,2.55,12567.0,France,5
537065,20665,RED RETROSPOT PURSE ,6,2010-12-05 11:57:00,2.95,12567.0,France,5
537065,21786,POLKADOT RAIN HAT ,24,2010-12-05 11:57:00,0.42,12567.0,France,5
537065,21787,RAIN PONCHO RETROSPOT,24,2010-12-05 11:57:00,0.85,12567.0,France,5
537065,20750,RED RETROSPOT MINI CASES,6,2010-12-05 11:57:00,7.95,12567.0,France,5
537065,20749,ASSORTED COLOUR MINI CASES,2,2010-12-05 11:57:00,7.95,12567.0,France,5
537065,21774,DECORATIVE CATS BATHROOM BOTTLE,12,2010-12-05 11:57:00,1.25,12567.0,France,5
537065,21121,SET/10 RED POLKADOT PARTY CANDLES,24,2010-12-05 11:57:00,1.25,12567.0,France,5
537065,21439,BASKET OF TOADSTOOLS,12,2010-12-05 11:57:00,1.25,12567.0,France,5
537065,47566,PARTY BUNTING,5,2010-12-05 11:57:00,4.65,12567.0,France,5
537065,22727,ALARM CLOCK BAKELIKE RED ,4,2010-12-05 11:57:00,3.75,12567.0,France,5
537065,22726,ALARM CLOCK BAKELIKE GREEN,4,2010-12-05 11:57:00,3.75,12567.0,France,5
537065,22728,ALARM CLOCK BAKELIKE PINK,4,2010-12-05 11:57:00,3.75,12567.0,France,5
537065,22729,ALARM CLOCK BAKELIKE ORANGE,4,2010-12-05 11:57:00,3.75,12567.0,France,5
537065,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,12,2010-12-05 11:57:00,1.65,12567.0,France,5
537065,22467,GUMBALL COAT RACK,6,2010-12-05 11:57:00,2.55,12567.0,France,5
537065,22318,FIVE HEART HANGING DECORATION,6,2010-12-05 11:57:00,2.95,12567.0,France,5
537065,21195,PINK  HONEYCOMB PAPER BALL ,6,2010-12-05 11:57:00,2.1,12567.0,France,5
537065,20725,LUNCH BAG RED RETROSPOT,10,2010-12-05 11:57:00,1.65,12567.0,France,5
537065,20726,LUNCH BAG WOODLAND,20,2010-12-05 11:57:00,1.65,12567.0,France,5
537065,20728,LUNCH BAG CARS BLUE,10,2010-12-05 11:57:00,1.65,12567.0,France,5
537065,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,2010-12-05 11:57:00,2.55,12567.0,France,5
537065,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,2010-12-05 11:57:00,2.95,12567.0,France,5
537065,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,2010-12-05 11:57:00,2.55,12567.0,France,5
537065,21555,CERAMIC STRAWBERRY TRINKET TRAY,6,2010-12-05 11:57:00,2.55,12567.0,France,5
537065,21533,RETROSPOT LARGE MILK JUG,3,2010-12-05 11:57:00,4.95,12567.0,France,5
537065,21539,RED RETROSPOT BUTTER DISH,3,2010-12-05 11:57:00,4.95,12567.0,France,5
537065,22423,REGENCY CAKESTAND 3 TIER,2,2010-12-05 11:57:00,12.75,12567.0,France,5
537065,84997A,GREEN 3 PIECE POLKADOT CUTLERY SET,6,2010-12-05 11:57:00,3.75,12567.0,France,5
537065,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,6,2010-12-05 11:57:00,3.75,12567.0,France,5
537065,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,6,2010-12-05 11:57:00,3.75,12567.0,France,5
537065,84279P,CHERRY BLOSSOM  DECORATIVE FLASK,4,2010-12-05 11:57:00,3.75,12567.0,France,5
537065,22634,CHILDS BREAKFAST SET SPACEBOY ,2,2010-12-05 11:57:00,9.95,12567.0,France,5
537065,22635,CHILDS BREAKFAST SET DOLLY GIRL ,2,2010-12-05 11:57:00,9.95,12567.0,France,5
537065,22636,CHILDS BREAKFAST SET CIRCUS PARADE,2,2010-12-05 11:57:00,8.5,12567.0,France,5
537065,22180,RETROSPOT LAMP,4,2010-12-05 11:57:00,9.95,12567.0,France,5
537065,21980,PACK OF 12 RED RETROSPOT TISSUES ,24,2010-12-05 11:57:00,0.29,12567.0,France,5
537065,21981,PACK OF 12 WOODLAND TISSUES ,24,2010-12-05 11:57:00,0.29,12567.0,France,5
537065,21982,PACK OF 12 SUKI TISSUES ,24,2010-12-05 11:57:00,0.29,12567.0,France,5
537065,22614,PACK OF 12 SPACEBOY TISSUES,24,2010-12-05 11:57:00,0.29,12567.0,France,5
537065,22615,PACK OF 12 CIRCUS PARADE TISSUES ,24,2010-12-05 11:57:00,0.29,12567.0,France,5
537065,84870B,BLUE GEISHA GIRL ,4,2010-12-05 11:57:00,3.75,12567.0,France,5
537065,84870C,GREEN GEISHA GIRL ,4,2010-12-05 11:57:00,3.75,12567.0,France,5
537065,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,2010-12-05 11:57:00,1.65,12567.0,France,5
537065,22551,PLASTERS IN TIN SPACEBOY,12,2010-12-05 11:57:00,1.65,12567.0,France,5
537065,16238,PARTY TIME PENCIL ERASERS,28,2010-12-05 11:57:00,0.21,12567.0,France,5
537065,85227,SET OF 6 3D KIT CARDS FOR KIDS,12,2010-12-05 11:57:00,0.85,12567.0,France,5
537065,22632,HAND WARMER RED RETROSPOT,12,2010-12-05 11:57:00,2.1,12567.0,France,5
537065,21829,DINOSAUR KEYRINGS ASSORTED,36,2010-12-05 11:57:00,0.21,12567.0,France,5
537065,21556,CERAMIC STRAWBERRY MONEY BOX,6,2010-12-05 11:57:00,2.55,12567.0,France,5
537065,22644,CERAMIC CHERRY CAKE MONEY BANK,12,2010-12-05 11:57:00,1.45,12567.0,France,5
537065,22390,PAPERWEIGHT CHILDHOOD MEMORIES,6,2010-12-05 11:57:00,2.55,12567.0,France,5
537065,22483,RED GINGHAM TEDDY BEAR ,6,2010-12-05 11:57:00,2.95,12567.0,France,5
537065,21054,NURSE'S BAG SOFT TOY,6,2010-12-05 11:57:00,8.95,12567.0,France,5
537065,21055,TOOL BOX SOFT TOY ,6,2010-12-05 11:57:00,8.95,12567.0,France,5
537065,21892,TRADITIONAL WOODEN CATCH CUP GAME ,12,2010-12-05 11:57:00,1.25,12567.0,France,5
537065,22619,SET OF 6 SOLDIER SKITTLES,4,2010-12-05 11:57:00,3.75,12567.0,France,5
537065,84963A,PINK PAINTED KASHMIRI CHAIR,4,2010-12-05 11:57:00,42.95,12567.0,France,5
537065,POST,POSTAGE,9,2010-12-05 11:57:00,18.0,12567.0,France,5
537463,22961,JAM MAKING SET PRINTED,12,2010-12-07 10:08:00,1.45,12681.0,France,5
537463,21224,SET/4 SKULL BADGES,10,2010-12-07 10:08:00,1.25,12681.0,France,5
537463,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,18,2010-12-07 10:08:00,2.95,12681.0,France,5
537463,21124,SET/10 BLUE POLKADOT PARTY CANDLES,24,2010-12-07 10:08:00,1.25,12681.0,France,5
537463,21121,SET/10 RED POLKADOT PARTY CANDLES,24,2010-12-07 10:08:00,1.25,12681.0,France,5
537463,21137,BLACK RECORD COVER FRAME,4,2010-12-07 10:08:00,3.75,12681.0,France,5
537463,22041,"RECORD FRAME 7"" SINGLE SIZE ",6,2010-12-07 10:08:00,2.55,12681.0,France,5
537463,22037,ROBOT BIRTHDAY CARD,12,2010-12-07 10:08:00,0.42,12681.0,France,5
537463,22027,TEA PARTY BIRTHDAY CARD,12,2010-12-07 10:08:00,0.42,12681.0,France,5
537463,21506,"FANCY FONT BIRTHDAY CARD, ",12,2010-12-07 10:08:00,0.42,12681.0,France,5
537463,21064,BOOM BOX SPEAKER BOYS,4,2010-12-07 10:08:00,5.95,12681.0,France,5
537463,21238,RED RETROSPOT CUP,16,2010-12-07 10:08:00,0.85,12681.0,France,5
537463,22191,IVORY DINER WALL CLOCK,2,2010-12-07 10:08:00,8.5,12681.0,France,5
537463,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,2010-12-07 10:08:00,2.55,12681.0,France,5
537463,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,2010-12-07 10:08:00,2.55,12681.0,France,5
537463,22181,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,12,2010-12-07 10:08:00,0.85,12681.0,France,5
537463,21700,BIG DOUGHNUT FRIDGE MAGNETS,12,2010-12-07 10:08:00,0.85,12681.0,France,5
537463,20719,WOODLAND CHARLOTTE BAG,10,2010-12-07 10:08:00,0.85,12681.0,France,5
537463,21680,WOODLAND  STICKERS,12,2010-12-07 10:08:00,0.85,12681.0,France,5
537463,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,2010-12-07 10:08:00,1.65,12681.0,France,5
537463,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2010-12-07 10:08:00,0.55,12681.0,France,5
537463,22312,OFFICE MUG WARMER POLKADOT,24,2010-12-07 10:08:00,2.95,12681.0,France,5
537463,22313,OFFICE MUG WARMER PINK,18,2010-12-07 10:08:00,2.95,12681.0,France,5
537463,22301,COFFEE MUG CAT + BIRD DESIGN,18,2010-12-07 10:08:00,2.55,12681.0,France,5
537463,22300,COFFEE MUG DOG + BALL DESIGN,12,2010-12-07 10:08:00,2.55,12681.0,France,5
537463,22894,TABLECLOTH RED APPLES DESIGN ,4,2010-12-07 10:08:00,8.5,12681.0,France,5
537463,22365,DOORMAT RESPECTABLE HOUSE,2,2010-12-07 10:08:00,7.95,12681.0,France,5
537463,20682,RED RETROSPOT CHILDRENS UMBRELLA,6,2010-12-07 10:08:00,3.25,12681.0,France,5
537463,20681,PINK POLKADOT CHILDRENS UMBRELLA,6,2010-12-07 10:08:00,3.25,12681.0,France,5
537463,84692,BOX OF 24 COCKTAIL PARASOLS,25,2010-12-07 10:08:00,0.42,12681.0,France,5
537463,22467,GUMBALL COAT RACK,36,2010-12-07 10:08:00,2.1,12681.0,France,5
537463,22413,METAL SIGN TAKE IT OR LEAVE IT ,6,2010-12-07 10:08:00,2.95,12681.0,France,5
537463,22892,SET OF SALT AND PEPPER TOADSTOOLS,12,2010-12-07 10:08:00,1.25,12681.0,France,5
537463,22908,PACK OF 20 NAPKINS RED APPLES,12,2010-12-07 10:08:00,0.85,12681.0,France,5
537463,22348,TEA BAG PLATE RED RETROSPOT,36,2010-12-07 10:08:00,0.85,12681.0,France,5
537463,21719,LOVELY BONBON STICKER SHEET,12,2010-12-07 10:08:00,0.85,12681.0,France,5
537463,21721,CANDY SHOP  STICKER SHEET,12,2010-12-07 10:08:00,0.85,12681.0,France,5
537463,21544,SKULLS  WATER TRANSFER TATTOOS ,12,2010-12-07 10:08:00,0.85,12681.0,France,5
537463,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,6,2010-12-07 10:08:00,2.95,12681.0,France,5
537463,21731,RED TOADSTOOL LED NIGHT LIGHT,72,2010-12-07 10:08:00,1.65,12681.0,France,5
537463,POST,POSTAGE,4,2010-12-07 10:08:00,18.0,12681.0,France,5
537468,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,2010-12-07 10:36:00,3.95,12567.0,France,5
537468,21485,RETROSPOT HEART HOT WATER BOTTLE,6,2010-12-07 10:36:00,4.95,12567.0,France,5
537468,22837,HOT WATER BOTTLE BABUSHKA ,4,2010-12-07 10:36:00,4.65,12567.0,France,5
537468,22113,GREY HEART HOT WATER BOTTLE,4,2010-12-07 10:36:00,3.75,12567.0,France,5
537468,22111,SCOTTIE DOG HOT WATER BOTTLE,3,2010-12-07 10:36:00,4.95,12567.0,France,5
537468,22110,BIRD HOUSE HOT WATER BOTTLE,12,2010-12-07 10:36:00,2.55,12567.0,France,5
537468,22558,CLOTHES PEGS RETROSPOT PACK 24 ,12,2010-12-07 10:36:00,1.49,12567.0,France,5
537468,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,2010-12-07 10:36:00,3.75,12567.0,France,5
537468,22750,FELTCRAFT PRINCESS LOLA DOLL,4,2010-12-07 10:36:00,3.75,12567.0,France,5
537468,22272,FELTCRAFT DOLL MARIA,6,2010-12-07 10:36:00,2.95,12567.0,France,5
537468,20725,LUNCH BAG RED RETROSPOT,10,2010-12-07 10:36:00,1.65,12567.0,France,5
537468,22383,LUNCH BAG SUKI  DESIGN ,10,2010-12-07 10:36:00,1.65,12567.0,France,5
537468,22382,LUNCH BAG SPACEBOY DESIGN ,10,2010-12-07 10:36:00,1.65,12567.0,France,5
537468,22418,10 COLOUR SPACEBOY PEN,24,2010-12-07 10:36:00,0.85,12567.0,France,5
537468,22745,POPPY'S PLAYHOUSE BEDROOM ,6,2010-12-07 10:36:00,2.1,12567.0,France,5
537468,22748,POPPY'S PLAYHOUSE KITCHEN,6,2010-12-07 10:36:00,2.1,12567.0,France,5
537468,22747,POPPY'S PLAYHOUSE BATHROOM,6,2010-12-07 10:36:00,2.1,12567.0,France,5
537468,22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,24,2010-12-07 10:36:00,0.42,12567.0,France,5
537468,POST,POSTAGE,3,2010-12-07 10:36:00,18.0,12567.0,France,5
537468,22654,DELUXE SEWING KIT ,9,2010-12-07 10:36:00,5.95,12567.0,France,5
537693,22710,WRAP I LOVE LONDON ,25,2010-12-08 10:45:00,0.42,12441.0,France,5
537693,22052,VINTAGE CARAVAN GIFT WRAP,25,2010-12-08 10:45:00,0.42,12441.0,France,5
537693,22051,BLUE SCANDINAVIAN PAISLEY WRAP,25,2010-12-08 10:45:00,0.42,12441.0,France,5
537693,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,6,2010-12-08 10:45:00,2.95,12441.0,France,5
537693,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,6,2010-12-08 10:45:00,2.95,12441.0,France,5
537693,22742,MAKE YOUR OWN PLAYTIME CARD KIT,6,2010-12-08 10:45:00,2.95,12441.0,France,5
537693,22744,MAKE YOUR OWN MONSOON CARD KIT,6,2010-12-08 10:45:00,2.95,12441.0,France,5
537693,37495,FAIRY CAKE BIRTHDAY CANDLE SET,4,2010-12-08 10:45:00,3.75,12441.0,France,5
537693,47566B,TEA TIME PARTY BUNTING,5,2010-12-08 10:45:00,4.65,12441.0,France,5
537693,85049A,TRADITIONAL CHRISTMAS RIBBONS,12,2010-12-08 10:45:00,1.25,12441.0,France,5
537693,POST,POSTAGE,1,2010-12-08 10:45:00,18.0,12441.0,France,5
537897,POST,POSTAGE,1,2010-12-09 10:37:00,18.0,12683.0,France,5
537897,22601,CHRISTMAS RETROSPOT ANGEL WOOD,12,2010-12-09 10:37:00,0.85,12683.0,France,5
537897,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,2010-12-09 10:37:00,0.85,12683.0,France,5
537897,22255,FELT TOADSTOOL  SMALL,12,2010-12-09 10:37:00,0.85,12683.0,France,5
537897,21731,RED TOADSTOOL LED NIGHT LIGHT,12,2010-12-09 10:37:00,1.65,12683.0,France,5
537897,22752,SET 7 BABUSHKA NESTING BOXES,2,2010-12-09 10:37:00,8.5,12683.0,France,5
537897,84029E,RED WOOLLY HOTTIE WHITE HEART.,4,2010-12-09 10:37:00,3.75,12683.0,France,5
537897,21481,FAWN BLUE HOT WATER BOTTLE,6,2010-12-09 10:37:00,2.95,12683.0,France,5
537897,22454,MEASURING TAPE BABUSHKA RED,6,2010-12-09 10:37:00,2.95,12683.0,France,5
537897,22558,CLOTHES PEGS RETROSPOT PACK 24 ,12,2010-12-09 10:37:00,1.49,12683.0,France,5
537897,22974,CHILDRENS DOLLY GIRL MUG,12,2010-12-09 10:37:00,1.65,12683.0,France,5
537897,20685,DOORMAT RED RETROSPOT,2,2010-12-09 10:37:00,7.95,12683.0,France,5
537897,22495,SET OF 2 ROUND TINS CAMEMBERT ,6,2010-12-09 10:37:00,2.95,12683.0,France,5
537967,21843,RED RETROSPOT CAKE STAND,2,2010-12-09 11:31:00,10.95,12494.0,France,5
537967,22667,RECIPE BOX RETROSPOT ,6,2010-12-09 11:31:00,2.95,12494.0,France,5
537967,POST,POSTAGE,1,2010-12-09 11:31:00,18.0,12494.0,France,5
538008,22331,WOODLAND PARTY BAG + STICKER SET,16,2010-12-09 12:17:00,1.65,12683.0,France,5
538008,22907,PACK OF 20 NAPKINS PANTRY DESIGN,24,2010-12-09 12:17:00,0.85,12683.0,France,5
538008,22908,PACK OF 20 NAPKINS RED APPLES,24,2010-12-09 12:17:00,0.85,12683.0,France,5
538008,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,12,2010-12-09 12:17:00,0.85,12683.0,France,5
538008,20972,PINK CREAM FELT CRAFT TRINKET BOX ,12,2010-12-09 12:17:00,1.25,12683.0,France,5
538008,22938,CUPCAKE LACE PAPER SET 6,12,2010-12-09 12:17:00,1.95,12683.0,France,5
538008,47599A,PINK PARTY BAGS,12,2010-12-09 12:17:00,2.1,12683.0,France,5
538008,47599B,BLUE PARTY BAGS ,12,2010-12-09 12:17:00,2.1,12683.0,France,5
538008,22704,WRAP RED APPLES ,25,2010-12-09 12:17:00,0.42,12683.0,France,5
538008,22894,TABLECLOTH RED APPLES DESIGN ,2,2010-12-09 12:17:00,8.5,12683.0,France,5
538008,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,6,2010-12-09 12:17:00,2.95,12683.0,France,5
538008,22897,OVEN MITT APPLES DESIGN,10,2010-12-09 12:17:00,1.45,12683.0,France,5
538008,22898,CHILDRENS APRON APPLES DESIGN,8,2010-12-09 12:17:00,1.95,12683.0,France,5
538008,22705,WRAP GREEN PEARS ,25,2010-12-09 12:17:00,0.42,12683.0,France,5
538008,22636,CHILDS BREAKFAST SET CIRCUS PARADE,4,2010-12-09 12:17:00,8.5,12683.0,France,5
538008,22630,DOLLY GIRL LUNCH BOX,12,2010-12-09 12:17:00,1.95,12683.0,France,5
538008,22899,CHILDREN'S APRON DOLLY GIRL ,12,2010-12-09 12:17:00,2.1,12683.0,France,5
538008,22333,RETROSPOT PARTY BAG + STICKER SET,16,2010-12-09 12:17:00,1.65,12683.0,France,5
538008,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,6,2010-12-09 12:17:00,3.75,12683.0,France,5
538008,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,2010-12-09 12:17:00,2.55,12683.0,France,5
538008,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,2010-12-09 12:17:00,2.55,12683.0,France,5
538008,22859,EASTER TIN BUNNY BOUQUET,6,2010-12-09 12:17:00,1.65,12683.0,France,5
538008,22951,60 CAKE CASES DOLLY GIRL DESIGN,24,2010-12-09 12:17:00,0.55,12683.0,France,5
538008,84992,72 SWEETHEART FAIRY CAKE CASES,24,2010-12-09 12:17:00,0.55,12683.0,France,5
538008,21086,SET/6 RED SPOTTY PAPER CUPS,12,2010-12-09 12:17:00,0.65,12683.0,France,5
538008,21094,SET/6 RED SPOTTY PAPER PLATES,12,2010-12-09 12:17:00,0.85,12683.0,France,5
538008,21154,RED RETROSPOT OVEN GLOVE ,10,2010-12-09 12:17:00,1.25,12683.0,France,5
538008,21843,RED RETROSPOT CAKE STAND,2,2010-12-09 12:17:00,10.95,12683.0,France,5
538008,22435,SET OF 9 HEART SHAPED BALLOONS,12,2010-12-09 12:17:00,1.25,12683.0,France,5
538008,22437,SET OF 9 BLACK SKULL BALLOONS,20,2010-12-09 12:17:00,0.85,12683.0,France,5
538008,22972,CHILDREN'S SPACEBOY MUG,12,2010-12-09 12:17:00,1.65,12683.0,France,5
538008,22973,CHILDREN'S CIRCUS PARADE MUG,12,2010-12-09 12:17:00,1.65,12683.0,France,5
538008,22974,CHILDRENS DOLLY GIRL MUG,12,2010-12-09 12:17:00,1.65,12683.0,France,5
538008,22975,SPACEBOY CHILDRENS EGG CUP,12,2010-12-09 12:17:00,1.25,12683.0,France,5
538008,22976,CIRCUS PARADE CHILDRENS EGG CUP ,12,2010-12-09 12:17:00,1.25,12683.0,France,5
538008,22977,DOLLY GIRL CHILDRENS EGG CUP,12,2010-12-09 12:17:00,1.25,12683.0,France,5
538008,21121,SET/10 RED POLKADOT PARTY CANDLES,24,2010-12-09 12:17:00,1.25,12683.0,France,5
538008,21123,SET/10 IVORY POLKADOT PARTY CANDLES,24,2010-12-09 12:17:00,1.25,12683.0,France,5
538008,21124,SET/10 BLUE POLKADOT PARTY CANDLES,24,2010-12-09 12:17:00,1.25,12683.0,France,5
538008,21122,SET/10 PINK POLKADOT PARTY CANDLES,24,2010-12-09 12:17:00,1.25,12683.0,France,5
538008,POST,POSTAGE,5,2010-12-09 12:17:00,18.0,12683.0,France,5
538093,22736,RIBBON REEL MAKING SNOWMEN ,10,2010-12-09 14:49:00,1.65,12682.0,France,5
538093,22738,RIBBON REEL SNOWY VILLAGE,10,2010-12-09 14:49:00,1.65,12682.0,France,5
538093,20679,EDWARDIAN PARASOL RED,12,2010-12-09 14:49:00,5.95,12682.0,France,5
538093,15056BL,EDWARDIAN PARASOL BLACK,12,2010-12-09 14:49:00,5.95,12682.0,France,5
538093,22077,6 RIBBONS RUSTIC CHARM,12,2010-12-09 14:49:00,1.65,12682.0,France,5
538093,21731,RED TOADSTOOL LED NIGHT LIGHT,12,2010-12-09 14:49:00,1.65,12682.0,France,5
538093,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,2010-12-09 14:49:00,1.25,12682.0,France,5
538093,22620,4 TRADITIONAL SPINNING TOPS,12,2010-12-09 14:49:00,1.25,12682.0,France,5
538093,22551,PLASTERS IN TIN SPACEBOY,12,2010-12-09 14:49:00,1.65,12682.0,France,5
538093,22556,PLASTERS IN TIN CIRCUS PARADE ,12,2010-12-09 14:49:00,1.65,12682.0,France,5
538093,22386,JUMBO BAG PINK POLKADOT,10,2010-12-09 14:49:00,1.95,12682.0,France,5
538093,22385,JUMBO BAG SPACEBOY DESIGN,10,2010-12-09 14:49:00,1.95,12682.0,France,5
538093,20725,LUNCH BAG RED RETROSPOT,10,2010-12-09 14:49:00,1.65,12682.0,France,5
538093,20726,LUNCH BAG WOODLAND,10,2010-12-09 14:49:00,1.65,12682.0,France,5
538093,22383,LUNCH BAG SUKI  DESIGN ,10,2010-12-09 14:49:00,1.65,12682.0,France,5
538093,22382,LUNCH BAG SPACEBOY DESIGN ,10,2010-12-09 14:49:00,1.65,12682.0,France,5
538093,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,12,2010-12-09 14:49:00,2.55,12682.0,France,5
538093,21558,SKULL LUNCH BOX WITH CUTLERY ,6,2010-12-09 14:49:00,2.55,12682.0,France,5
538093,22961,JAM MAKING SET PRINTED,12,2010-12-09 14:49:00,1.45,12682.0,France,5
538093,21452,TOADSTOOL MONEY BOX,6,2010-12-09 14:49:00,2.95,12682.0,France,5
538093,85232D,SET/3 DECOUPAGE STACKING TINS,3,2010-12-09 14:49:00,4.95,12682.0,France,5
