年齢,職業,婚姻,学歴,債務不履行,平均残高,住宅ローン,個人ローン,連絡手段,最終通話日,最終通話月,最終通話秒数,通話回数_販促中,前回販促後_経過日数,通話回数_販促前,前回販促結果,今回販促結果
31,unknown,divorced,tertiary,いいえ,137,いいえ,いいえ,cellular,22,aug,385,9,-1,0,unknown,失敗
43,services,divorced,unknown,いいえ,2363,はい,いいえ,cellular,17,nov,229,1,-1,0,unknown,失敗
36,admin.,married,secondary,いいえ,1031,いいえ,いいえ,cellular,17,jun,282,4,-1,0,unknown,成功
30,management,single,tertiary,いいえ,370,いいえ,いいえ,cellular,22,aug,64,2,-1,0,unknown,失敗
50,blue-collar,married,secondary,いいえ,1557,はい,いいえ,unknown,7,may,263,6,-1,0,unknown,失敗
45,technician,married,tertiary,いいえ,548,いいえ,いいえ,cellular,11,aug,108,4,-1,0,unknown,失敗
46,services,married,secondary,いいえ,3269,はい,いいえ,unknown,15,may,366,1,-1,0,unknown,失敗
66,retired,married,secondary,いいえ,154,いいえ,いいえ,cellular,15,jul,268,5,181,2,failure,成功
29,admin.,married,secondary,いいえ,708,はい,いいえ,unknown,4,jun,194,1,-1,0,unknown,失敗
34,admin.,married,secondary,いいえ,613,はい,いいえ,cellular,4,jun,80,1,-1,0,unknown,失敗
52,management,married,secondary,いいえ,189,いいえ,いいえ,cellular,22,aug,90,2,-1,0,unknown,失敗
55,services,married,primary,いいえ,255,はい,いいえ,unknown,6,may,285,1,-1,0,unknown,失敗
51,retired,married,secondary,いいえ,0,はい,いいえ,cellular,11,oct,146,4,-1,0,unknown,失敗
33,housemaid,married,primary,いいえ,4136,はい,いいえ,cellular,20,apr,178,5,-1,0,unknown,失敗
56,blue-collar,married,primary,いいえ,1014,いいえ,いいえ,unknown,2,jul,5,1,-1,0,unknown,失敗
34,services,married,secondary,はい,421,はい,いいえ,unknown,20,may,247,3,-1,0,unknown,失敗
58,housemaid,married,primary,いいえ,260,はい,いいえ,telephone,15,may,71,5,364,3,failure,失敗
48,unemployed,married,tertiary,いいえ,-471,はい,いいえ,unknown,19,may,668,7,-1,0,unknown,失敗
56,unemployed,divorced,secondary,いいえ,283,はい,はい,cellular,20,apr,89,3,341,2,failure,失敗
33,technician,single,tertiary,いいえ,231,はい,いいえ,unknown,27,may,198,2,-1,0,unknown,失敗
29,management,married,tertiary,いいえ,125,いいえ,いいえ,cellular,30,apr,130,2,-1,0,unknown,失敗
39,blue-collar,married,primary,いいえ,976,はい,いいえ,cellular,30,jan,80,1,2,2,other,失敗
37,technician,married,secondary,はい,0,いいえ,いいえ,unknown,18,jun,236,1,-1,0,unknown,失敗
46,management,married,tertiary,いいえ,0,いいえ,いいえ,cellular,20,aug,96,3,-1,0,unknown,失敗
26,admin.,married,secondary,いいえ,1595,いいえ,いいえ,cellular,15,jun,155,1,105,1,failure,成功
52,housemaid,married,primary,いいえ,3283,いいえ,いいえ,unknown,11,jun,553,1,-1,0,unknown,失敗
42,management,married,tertiary,いいえ,-556,はい,はい,cellular,8,may,682,3,347,3,failure,成功
37,services,single,secondary,いいえ,259,はい,いいえ,unknown,7,may,130,1,-1,0,unknown,失敗
26,blue-collar,married,secondary,いいえ,-11,はい,はい,cellular,17,jul,1150,3,-1,0,unknown,成功
33,blue-collar,married,secondary,いいえ,-349,はい,いいえ,unknown,6,may,191,1,-1,0,unknown,失敗
31,blue-collar,married,secondary,いいえ,-190,はい,はい,cellular,8,may,299,3,-1,0,unknown,失敗
53,housemaid,single,primary,いいえ,1238,いいえ,いいえ,unknown,17,jun,23,3,-1,0,unknown,失敗
45,admin.,married,secondary,いいえ,205,いいえ,いいえ,cellular,3,feb,373,1,92,1,success,成功
46,management,married,tertiary,いいえ,523,はい,いいえ,cellular,6,may,105,4,366,2,failure,失敗
36,entrepreneur,single,primary,いいえ,5,いいえ,いいえ,cellular,12,may,396,1,172,3,failure,失敗
54,management,married,tertiary,いいえ,-1415,はい,はい,cellular,17,nov,135,1,-1,0,unknown,失敗
59,technician,married,secondary,いいえ,4263,いいえ,はい,cellular,20,nov,426,2,-1,0,unknown,失敗
58,blue-collar,divorced,primary,いいえ,2716,いいえ,いいえ,cellular,20,nov,163,2,-1,0,unknown,失敗
52,housemaid,divorced,secondary,いいえ,131,はい,はい,cellular,11,may,87,1,-1,0,unknown,失敗
38,admin.,single,secondary,いいえ,569,はい,はい,cellular,2,feb,164,2,272,2,failure,失敗
64,retired,married,primary,いいえ,2140,いいえ,いいえ,cellular,16,mar,881,3,155,2,failure,成功
69,management,married,secondary,いいえ,4,いいえ,いいえ,cellular,23,oct,114,4,-1,0,unknown,失敗
47,blue-collar,married,secondary,いいえ,3696,はい,いいえ,cellular,19,nov,635,3,170,2,failure,失敗
34,admin.,married,secondary,いいえ,1049,はい,いいえ,unknown,23,may,25,14,-1,0,unknown,失敗
35,blue-collar,single,secondary,いいえ,376,はい,はい,unknown,6,may,207,3,-1,0,unknown,失敗
31,management,married,tertiary,いいえ,596,いいえ,いいえ,cellular,12,aug,192,4,-1,0,unknown,失敗
26,services,single,secondary,いいえ,110,いいえ,いいえ,cellular,30,jan,1136,2,-1,0,unknown,成功
32,technician,single,tertiary,いいえ,1849,はい,いいえ,cellular,7,may,155,1,-1,0,unknown,失敗
35,blue-collar,married,secondary,いいえ,449,はい,いいえ,cellular,28,jul,395,4,-1,0,unknown,失敗
31,management,single,tertiary,いいえ,296,いいえ,はい,cellular,8,jul,509,4,-1,0,unknown,成功
44,admin.,married,secondary,いいえ,266,はい,いいえ,cellular,17,apr,294,2,-1,0,unknown,失敗
19,student,single,primary,いいえ,103,いいえ,いいえ,cellular,10,jul,104,2,-1,0,unknown,成功
36,admin.,married,secondary,いいえ,1867,はい,はい,unknown,27,may,243,2,-1,0,unknown,失敗
31,technician,married,tertiary,いいえ,3338,はい,いいえ,cellular,21,dec,264,2,-1,0,unknown,成功
34,blue-collar,married,secondary,いいえ,751,はい,はい,cellular,17,nov,1303,1,-1,0,unknown,成功
32,services,single,secondary,いいえ,6857,いいえ,いいえ,cellular,2,feb,216,1,-1,0,unknown,失敗
36,blue-collar,married,secondary,いいえ,129,はい,いいえ,cellular,12,may,183,4,-1,0,unknown,失敗
33,blue-collar,divorced,primary,いいえ,176,はい,いいえ,unknown,8,may,622,1,-1,0,unknown,失敗
44,admin.,divorced,secondary,いいえ,0,いいえ,いいえ,cellular,14,apr,1594,1,148,1,failure,成功
40,blue-collar,married,primary,いいえ,780,はい,いいえ,cellular,12,may,206,1,357,1,failure,失敗
40,services,married,secondary,いいえ,111,はい,いいえ,cellular,23,jul,134,1,-1,0,unknown,失敗
27,technician,single,secondary,いいえ,218,はい,いいえ,cellular,14,may,1462,2,352,1,failure,失敗
36,housemaid,married,secondary,いいえ,399,はい,いいえ,cellular,22,jul,139,1,-1,0,unknown,失敗
31,self-employed,single,tertiary,いいえ,91,いいえ,いいえ,unknown,23,may,206,1,-1,0,unknown,失敗
35,blue-collar,married,primary,いいえ,396,はい,いいえ,cellular,20,apr,110,1,-1,0,unknown,失敗
30,management,single,tertiary,いいえ,16935,いいえ,いいえ,cellular,28,oct,108,1,-1,0,unknown,失敗
44,management,married,tertiary,いいえ,474,はい,はい,unknown,14,may,183,4,-1,0,unknown,失敗
32,blue-collar,married,primary,いいえ,0,はい,いいえ,cellular,11,may,130,3,-1,0,unknown,失敗
39,services,divorced,secondary,いいえ,-388,はい,いいえ,cellular,9,jul,205,2,-1,0,unknown,失敗
33,management,single,secondary,いいえ,2859,はい,いいえ,cellular,13,aug,105,1,-1,0,unknown,失敗
28,blue-collar,single,secondary,いいえ,2700,いいえ,いいえ,cellular,3,feb,337,4,-1,0,unknown,失敗
30,blue-collar,divorced,secondary,いいえ,251,はい,はい,unknown,7,may,120,2,-1,0,unknown,失敗
52,management,married,tertiary,いいえ,0,いいえ,いいえ,unknown,20,jun,166,1,-1,0,unknown,失敗
32,technician,single,secondary,いいえ,6402,はい,いいえ,cellular,20,nov,628,1,-1,0,unknown,成功
40,management,married,tertiary,いいえ,0,いいえ,いいえ,cellular,22,aug,61,4,-1,0,unknown,失敗
30,blue-collar,single,secondary,いいえ,0,はい,いいえ,telephone,23,jul,40,5,-1,0,unknown,失敗
55,management,divorced,tertiary,いいえ,9756,はい,いいえ,cellular,5,jun,103,2,95,1,other,成功
45,services,married,secondary,いいえ,759,はい,いいえ,unknown,2,jun,172,2,-1,0,unknown,失敗
41,services,married,secondary,いいえ,803,はい,いいえ,unknown,28,may,88,3,-1,0,unknown,失敗
68,unknown,married,unknown,いいえ,4092,いいえ,いいえ,telephone,11,aug,329,1,-1,0,unknown,失敗
33,technician,married,secondary,いいえ,181,はい,はい,telephone,28,jul,265,2,-1,0,unknown,失敗
26,management,married,tertiary,いいえ,243,いいえ,いいえ,cellular,26,may,482,1,-1,0,unknown,成功
26,technician,single,secondary,いいえ,237,はい,いいえ,cellular,4,may,1091,3,-1,0,unknown,成功
45,blue-collar,married,secondary,いいえ,96,はい,いいえ,cellular,13,apr,348,3,256,2,failure,成功
49,management,married,tertiary,いいえ,1304,はい,いいえ,unknown,27,may,144,1,-1,0,unknown,失敗
42,unemployed,married,tertiary,いいえ,0,いいえ,いいえ,cellular,8,oct,113,1,-1,0,unknown,失敗
34,services,married,secondary,いいえ,2956,いいえ,いいえ,cellular,6,aug,835,2,-1,0,unknown,成功
57,blue-collar,married,secondary,いいえ,668,いいえ,いいえ,telephone,17,nov,508,4,-1,0,unknown,失敗
55,retired,married,primary,いいえ,868,いいえ,いいえ,unknown,19,jun,207,1,-1,0,unknown,失敗
48,blue-collar,married,secondary,いいえ,1794,はい,はい,cellular,8,may,97,1,343,2,failure,失敗
44,self-employed,divorced,secondary,いいえ,80,はい,はい,unknown,14,may,387,2,-1,0,unknown,失敗
35,management,divorced,tertiary,いいえ,434,はい,いいえ,cellular,11,may,277,1,271,2,success,失敗
38,blue-collar,married,unknown,いいえ,113,いいえ,いいえ,unknown,13,may,25,10,-1,0,unknown,失敗
39,services,single,secondary,いいえ,91,いいえ,いいえ,cellular,3,sep,213,1,185,1,success,成功
35,blue-collar,married,primary,いいえ,11,はい,いいえ,unknown,13,may,326,4,-1,0,unknown,失敗
30,management,married,tertiary,いいえ,1476,はい,はい,unknown,3,jun,199,4,-1,0,unknown,失敗
50,management,married,tertiary,いいえ,719,いいえ,はい,cellular,20,nov,117,6,-1,0,unknown,失敗
21,student,single,primary,いいえ,423,いいえ,いいえ,telephone,18,jan,287,5,285,5,success,成功
34,housemaid,married,secondary,いいえ,-97,はい,はい,cellular,8,jul,119,2,-1,0,unknown,失敗
35,management,single,tertiary,いいえ,-146,はい,いいえ,cellular,14,may,279,1,266,1,failure,失敗
26,blue-collar,married,primary,いいえ,500,はい,いいえ,unknown,15,may,21,6,-1,0,unknown,失敗
56,management,divorced,tertiary,いいえ,2096,いいえ,いいえ,cellular,17,nov,209,2,-1,0,unknown,失敗
30,blue-collar,married,secondary,いいえ,-28,はい,いいえ,cellular,18,may,284,2,371,1,failure,失敗
49,admin.,single,secondary,いいえ,-412,はい,いいえ,cellular,21,jul,31,1,-1,0,unknown,失敗
34,blue-collar,single,primary,いいえ,505,はい,いいえ,unknown,13,may,351,1,-1,0,unknown,失敗
64,retired,married,primary,いいえ,440,いいえ,いいえ,cellular,6,feb,495,1,-1,0,unknown,成功
59,retired,divorced,secondary,いいえ,514,はい,いいえ,cellular,17,nov,573,1,188,1,other,失敗
33,management,married,tertiary,いいえ,114,はい,はい,cellular,18,jul,207,9,-1,0,unknown,失敗
51,housemaid,married,secondary,いいえ,1270,いいえ,いいえ,cellular,29,jan,208,3,-1,0,unknown,失敗
54,technician,married,secondary,いいえ,-777,いいえ,はい,cellular,12,aug,117,2,-1,0,unknown,失敗
54,technician,single,secondary,いいえ,99,はい,いいえ,unknown,7,may,283,3,-1,0,unknown,失敗
48,admin.,single,secondary,いいえ,96,はい,いいえ,unknown,8,may,255,1,-1,0,unknown,失敗
54,management,married,tertiary,いいえ,95,いいえ,いいえ,cellular,11,jul,104,1,-1,0,unknown,失敗
51,blue-collar,married,secondary,いいえ,0,いいえ,いいえ,telephone,30,jul,145,4,-1,0,unknown,失敗
58,technician,married,tertiary,いいえ,289,いいえ,いいえ,telephone,21,nov,182,2,-1,0,unknown,失敗
26,unemployed,single,tertiary,いいえ,521,いいえ,いいえ,cellular,6,feb,123,3,-1,0,unknown,失敗
49,management,married,tertiary,いいえ,5887,いいえ,いいえ,cellular,2,jun,181,3,293,2,failure,成功
38,technician,married,secondary,いいえ,508,はい,いいえ,unknown,27,may,565,2,-1,0,unknown,失敗
59,blue-collar,married,primary,いいえ,1939,いいえ,いいえ,cellular,23,apr,172,1,-1,0,unknown,成功
28,admin.,single,tertiary,いいえ,14,いいえ,いいえ,cellular,1,jun,201,1,-1,0,unknown,失敗
42,technician,single,tertiary,いいえ,171,いいえ,いいえ,cellular,14,aug,143,2,-1,0,unknown,失敗
24,management,single,tertiary,いいえ,1506,いいえ,いいえ,cellular,12,jun,239,2,95,4,success,成功
40,admin.,single,secondary,いいえ,-186,はい,はい,cellular,11,jul,154,2,-1,0,unknown,失敗
29,student,single,secondary,いいえ,510,はい,いいえ,unknown,9,may,25,6,-1,0,unknown,失敗
27,services,married,secondary,いいえ,0,はい,いいえ,cellular,23,jul,198,13,-1,0,unknown,失敗
49,technician,married,secondary,いいえ,308,いいえ,いいえ,cellular,26,oct,260,2,91,5,failure,失敗
40,technician,married,secondary,いいえ,232,いいえ,いいえ,cellular,29,jan,366,1,-1,0,unknown,失敗
46,blue-collar,single,secondary,いいえ,76,はい,いいえ,unknown,7,may,245,2,-1,0,unknown,失敗
29,blue-collar,married,secondary,いいえ,602,はい,はい,cellular,17,apr,440,2,-1,0,unknown,失敗
25,student,single,secondary,いいえ,469,いいえ,いいえ,cellular,24,feb,524,1,187,2,success,失敗
36,blue-collar,divorced,secondary,いいえ,-59,はい,いいえ,unknown,28,may,193,1,-1,0,unknown,失敗
32,management,single,tertiary,いいえ,1010,いいえ,いいえ,cellular,7,aug,67,2,-1,0,unknown,失敗
69,retired,married,primary,いいえ,2346,いいえ,いいえ,cellular,11,feb,354,2,-1,0,unknown,成功
38,technician,single,secondary,いいえ,3278,いいえ,いいえ,cellular,19,aug,645,14,-1,0,unknown,成功
48,blue-collar,married,secondary,いいえ,1,いいえ,いいえ,unknown,5,may,669,3,-1,0,unknown,失敗
42,admin.,single,secondary,いいえ,283,はい,いいえ,unknown,19,jun,446,1,-1,0,unknown,失敗
33,technician,divorced,secondary,いいえ,751,はい,いいえ,cellular,18,nov,237,1,-1,0,unknown,失敗
51,self-employed,married,secondary,いいえ,383,はい,いいえ,cellular,20,apr,164,1,-1,0,unknown,失敗
35,blue-collar,divorced,unknown,いいえ,164,いいえ,いいえ,unknown,11,jun,967,2,-1,0,unknown,成功
53,blue-collar,married,primary,いいえ,751,はい,いいえ,cellular,3,feb,1528,2,-1,0,unknown,成功
31,technician,single,secondary,いいえ,2377,はい,いいえ,cellular,11,may,350,3,-1,0,unknown,失敗
40,blue-collar,married,primary,いいえ,119,はい,いいえ,cellular,17,apr,795,3,147,2,failure,失敗
27,management,single,tertiary,いいえ,406,いいえ,いいえ,cellular,9,feb,269,9,-1,0,unknown,失敗
30,technician,divorced,tertiary,いいえ,-317,はい,いいえ,unknown,7,may,381,2,-1,0,unknown,失敗
52,unknown,married,primary,いいえ,247,いいえ,いいえ,cellular,29,jul,268,6,-1,0,unknown,失敗
44,management,married,secondary,いいえ,1103,いいえ,いいえ,cellular,20,nov,82,1,-1,0,unknown,失敗
31,management,married,tertiary,いいえ,141,はい,いいえ,cellular,4,feb,572,2,238,7,other,成功
29,unemployed,divorced,tertiary,いいえ,1718,はい,いいえ,cellular,18,jul,579,2,-1,0,unknown,失敗
45,technician,married,secondary,いいえ,1477,はい,いいえ,cellular,8,jul,355,1,-1,0,unknown,失敗
27,student,single,secondary,いいえ,1411,いいえ,いいえ,cellular,2,feb,92,1,-1,0,unknown,失敗
47,services,married,secondary,いいえ,24,いいえ,いいえ,cellular,11,aug,271,3,-1,0,unknown,失敗
34,blue-collar,married,primary,いいえ,428,はい,いいえ,cellular,18,may,59,2,-1,0,unknown,失敗
30,blue-collar,married,primary,いいえ,-5,はい,いいえ,cellular,18,may,518,2,-1,0,unknown,失敗
36,management,married,tertiary,いいえ,3007,はい,いいえ,cellular,4,aug,160,1,-1,0,unknown,失敗
27,blue-collar,married,primary,いいえ,300,いいえ,はい,cellular,22,jul,209,2,-1,0,unknown,失敗
31,management,single,tertiary,いいえ,350,いいえ,いいえ,cellular,18,aug,471,2,-1,0,unknown,失敗
38,technician,married,secondary,いいえ,79,はい,いいえ,cellular,20,aug,209,2,-1,0,unknown,失敗
31,blue-collar,married,secondary,いいえ,99,はい,いいえ,cellular,29,jan,653,3,-1,0,unknown,失敗
34,blue-collar,married,unknown,いいえ,568,はい,いいえ,cellular,25,jul,256,1,-1,0,unknown,失敗
33,admin.,single,secondary,いいえ,598,はい,いいえ,unknown,28,may,189,1,-1,0,unknown,失敗
29,admin.,single,secondary,いいえ,124,いいえ,いいえ,cellular,2,feb,94,1,5,2,other,失敗
35,management,married,tertiary,いいえ,1133,はい,いいえ,cellular,3,nov,102,1,-1,0,unknown,成功
40,blue-collar,married,primary,いいえ,-66,はい,いいえ,unknown,6,may,288,1,-1,0,unknown,失敗
32,unemployed,single,tertiary,いいえ,1611,はい,いいえ,cellular,19,nov,175,1,180,2,failure,失敗
53,blue-collar,married,primary,いいえ,0,いいえ,いいえ,cellular,21,aug,195,1,-1,0,unknown,失敗
31,services,single,secondary,いいえ,1027,いいえ,いいえ,cellular,2,jul,217,3,-1,0,unknown,成功
31,blue-collar,married,secondary,いいえ,10287,はい,いいえ,cellular,20,nov,293,1,-1,0,unknown,失敗
40,technician,single,tertiary,いいえ,693,いいえ,いいえ,cellular,30,jan,427,1,-1,0,unknown,失敗
30,admin.,married,secondary,いいえ,482,いいえ,いいえ,cellular,23,apr,86,1,-1,0,unknown,失敗
37,management,divorced,tertiary,いいえ,241,はい,いいえ,unknown,30,may,126,1,-1,0,unknown,失敗
34,management,single,tertiary,いいえ,6707,はい,いいえ,cellular,20,apr,16,3,154,4,other,失敗
44,blue-collar,married,primary,いいえ,582,いいえ,いいえ,cellular,21,jul,83,2,-1,0,unknown,失敗
44,admin.,married,secondary,いいえ,764,はい,いいえ,cellular,3,sep,232,1,213,1,failure,失敗
47,management,single,tertiary,いいえ,334,はい,いいえ,cellular,26,mar,360,1,326,8,failure,成功
44,self-employed,married,tertiary,いいえ,292,はい,いいえ,unknown,6,may,162,1,-1,0,unknown,失敗
48,services,married,secondary,いいえ,2739,いいえ,いいえ,telephone,23,jul,173,4,-1,0,unknown,失敗
36,blue-collar,divorced,secondary,いいえ,625,はい,いいえ,unknown,21,may,265,2,-1,0,unknown,失敗
49,blue-collar,married,secondary,いいえ,0,いいえ,はい,telephone,10,jul,564,2,-1,0,unknown,失敗
32,management,married,tertiary,いいえ,2102,はい,いいえ,cellular,8,jul,220,1,-1,0,unknown,失敗
29,admin.,married,secondary,いいえ,943,はい,いいえ,unknown,4,jun,355,1,-1,0,unknown,失敗
40,housemaid,married,primary,いいえ,118,はい,いいえ,cellular,5,feb,162,2,-1,0,unknown,失敗
32,management,single,tertiary,いいえ,0,はい,いいえ,cellular,30,apr,370,3,-1,0,unknown,成功
58,management,married,tertiary,いいえ,3228,いいえ,いいえ,cellular,19,aug,58,2,-1,0,unknown,失敗
35,blue-collar,married,secondary,いいえ,293,はい,いいえ,cellular,17,apr,1017,1,325,1,other,成功
39,blue-collar,married,secondary,いいえ,10005,はい,いいえ,cellular,31,jul,241,4,-1,0,unknown,失敗
46,blue-collar,married,primary,いいえ,564,はい,いいえ,cellular,29,jul,124,2,-1,0,unknown,失敗
30,blue-collar,married,secondary,いいえ,554,はい,いいえ,cellular,29,jan,100,1,-1,0,unknown,失敗
44,technician,married,secondary,いいえ,5163,いいえ,いいえ,cellular,11,aug,48,2,-1,0,unknown,失敗
42,admin.,married,secondary,いいえ,-1386,はい,はい,cellular,15,jul,56,4,-1,0,unknown,失敗
53,management,married,secondary,いいえ,-264,いいえ,はい,cellular,2,feb,150,1,-1,0,unknown,失敗
42,housemaid,married,secondary,いいえ,314,はい,はい,cellular,17,apr,727,2,-1,0,unknown,失敗
37,management,single,unknown,いいえ,242,いいえ,はい,cellular,28,jul,124,3,-1,0,unknown,失敗
33,self-employed,married,tertiary,いいえ,666,はい,いいえ,cellular,16,apr,297,1,-1,0,unknown,失敗
39,blue-collar,married,primary,いいえ,1742,いいえ,いいえ,unknown,9,jul,130,6,-1,0,unknown,失敗
52,blue-collar,married,primary,いいえ,336,いいえ,はい,telephone,17,jul,381,7,-1,0,unknown,失敗
50,admin.,married,secondary,いいえ,2971,いいえ,いいえ,cellular,9,jun,722,2,-1,0,unknown,失敗
39,blue-collar,married,primary,いいえ,2805,はい,いいえ,unknown,26,may,102,23,-1,0,unknown,失敗
35,blue-collar,married,secondary,いいえ,323,はい,いいえ,cellular,13,may,46,1,-1,0,unknown,失敗
29,unemployed,single,tertiary,いいえ,1311,いいえ,いいえ,cellular,28,aug,622,1,-1,0,unknown,成功
35,admin.,married,secondary,いいえ,2897,いいえ,いいえ,unknown,9,jun,243,2,-1,0,unknown,失敗
28,admin.,single,secondary,いいえ,350,はい,はい,unknown,19,may,5,2,-1,0,unknown,失敗
50,technician,divorced,secondary,いいえ,0,はい,いいえ,cellular,13,aug,120,2,91,6,failure,失敗
38,technician,single,secondary,いいえ,382,はい,いいえ,cellular,12,aug,180,2,-1,0,unknown,失敗
40,blue-collar,married,primary,いいえ,309,はい,いいえ,cellular,14,may,221,2,-1,0,unknown,失敗
31,blue-collar,married,primary,いいえ,2,はい,はい,cellular,10,jul,112,1,-1,0,unknown,失敗
30,management,single,tertiary,いいえ,265,いいえ,いいえ,cellular,25,nov,295,1,93,3,success,失敗
56,admin.,married,secondary,いいえ,2796,いいえ,いいえ,telephone,31,jul,39,3,-1,0,unknown,失敗
26,management,single,tertiary,いいえ,114,はい,いいえ,cellular,7,may,457,1,-1,0,unknown,成功
28,management,single,secondary,いいえ,171,いいえ,いいえ,cellular,5,jun,324,1,87,1,success,成功
51,entrepreneur,married,primary,いいえ,805,はい,いいえ,cellular,8,aug,132,4,-1,0,unknown,失敗
32,management,single,tertiary,いいえ,1271,はい,いいえ,unknown,20,may,51,1,-1,0,unknown,失敗
43,unemployed,married,primary,いいえ,-178,はい,いいえ,unknown,9,may,191,2,-1,0,unknown,失敗
34,admin.,married,secondary,いいえ,580,はい,はい,cellular,11,may,228,1,-1,0,unknown,失敗
35,self-employed,married,primary,いいえ,1094,はい,いいえ,unknown,8,may,207,1,-1,0,unknown,失敗
59,retired,married,secondary,いいえ,566,いいえ,いいえ,cellular,12,aug,464,4,-1,0,unknown,失敗
55,technician,single,secondary,いいえ,1199,いいえ,はい,telephone,11,aug,91,1,99,10,failure,失敗
53,blue-collar,married,primary,いいえ,241,はい,いいえ,cellular,16,apr,1410,1,325,2,failure,失敗
45,blue-collar,married,secondary,いいえ,221,いいえ,はい,cellular,25,aug,153,4,-1,0,unknown,失敗
41,management,married,tertiary,いいえ,651,いいえ,いいえ,cellular,4,aug,104,1,-1,0,unknown,失敗
27,blue-collar,single,secondary,いいえ,381,はい,いいえ,cellular,18,may,143,1,-1,0,unknown,失敗
28,technician,single,secondary,いいえ,922,はい,いいえ,cellular,7,apr,304,1,-1,0,unknown,失敗
46,housemaid,married,primary,いいえ,312,はい,はい,cellular,25,jul,137,7,-1,0,unknown,失敗
44,services,divorced,secondary,いいえ,0,いいえ,はい,cellular,17,jul,275,17,-1,0,unknown,失敗
26,technician,single,tertiary,いいえ,36,いいえ,はい,unknown,4,jul,502,2,-1,0,unknown,失敗
55,management,single,tertiary,いいえ,854,はい,はい,unknown,17,jun,98,4,-1,0,unknown,失敗
