ID,年齢,職業,婚姻,学歴,債務不履行,平均残高,住宅ローン,個人ローン,連絡手段,通話回数_販促中,経過日数,通話回数_販促前,前回販促結果,今回販促結果
175,31,management,married,tertiary,no,4328,no,no,cellular,4,165,14,success,no
176,29,services,divorced,secondary,,84,yes,no,cellular,2,999,0,unknown,no
177,33,management,single,tertiary,no,224,no,no,cellular,2,999,0,unknown,no
178,29,technician,single,secondary,no,938,no,no,cellular,1,999,0,unknown,no
179,60,admin.,married,tertiary,,1614,no,no,cellular,6,999,0,unknown,no
180,61,management,married,secondary,no,544,no,no,cellular,3,200,9,success,no
181,36,management,divorced,tertiary,yes,36,no,no,cellular,4,999,0,unknown,no
182,46,blue-collar,married,secondary,no,640,yes,no,cellular,1,55,5,success,no
183,23,unemployed,single,primary,no,1003,no,no,telephone,1,999,0,unknown,no
184,43,management,married,tertiary,no,1429,yes,no,cellular,1,198,2,nonexistent,no
185,41,blue-collar,married,secondary,no,1384,yes,no,unknown,4,999,0,unknown,no
186,41,management,divorced,tertiary,no,1757,no,no,cellular,1,239,13,failure,no
187,45,management,married,tertiary,no,242,no,no,cellular,1,999,0,unknown,no
188,38,blue-collar,single,tertiary,no,2885,yes,no,unknown,10,999,0,unknown,no
189,36,technician,married,tertiary,no,521,no,no,cellular,3,999,0,unknown,no
190,39,admin.,married,tertiary,no,1108,no,no,cellular,1,999,0,unknown,no
191,38,management,single,tertiary,no,6158,yes,no,cellular,5,145,9,failure,no
192,33,management,divorced,tertiary,no,990,yes,no,cellular,2,999,0,unknown,no
193,54,technician,married,secondary,no,10185,no,no,cellular,1,186,3,success,no
194,77,retired,married,tertiary,no,0,no,no,cellular,1,60,1,success,no
195,28,technician,single,secondary,no,2335,no,no,cellular,1,999,0,unknown,no
196,61,retired,married,secondary,no,523,no,no,cellular,3,183,4,success,no
197,31,admin.,married,secondary,no,8781,yes,no,cellular,1,177,1,success,no
198,29,services,single,tertiary,no,1788,no,no,cellular,1,999,0,unknown,no
199,30,management,married,tertiary,no,10884,no,no,cellular,2,999,0,unknown,no
200,57,management,married,primary,no,6900,no,no,cellular,4,185,2,failure,no
201,37,services,married,secondary,no,4017,no,no,cellular,1,999,0,unknown,no
202,27,technician,single,tertiary,no,4661,no,no,cellular,1,999,0,unknown,no
203,48,management,married,secondary,no,4415,yes,no,cellular,3,141,7,failure,no
204,52,technician,divorced,secondary,no,152,no,no,cellular,6,999,0,unknown,no
205,30,admin.,single,secondary,no,915,yes,no,unknown,1,999,0,unknown,no
206,53,services,divorced,secondary,no,0,no,no,cellular,2,999,0,unknown,no
207,54,technician,single,tertiary,no,467,yes,no,cellular,3,999,0,unknown,no
208,53,retired,married,secondary,,665,yes,no,cellular,2,999,0,unknown,no
209,32,technician,divorced,tertiary,no,53,no,no,cellular,2,999,0,unknown,no
210,42,blue-collar,single,primary,no,1628,yes,no,cellular,8,999,0,unknown,no
211,23,technician,single,secondary,,283,yes,no,cellular,1,184,2,success,no
212,30,blue-collar,married,secondary,no,61,yes,no,cellular,1,999,0,unknown,no
213,59,management,married,tertiary,no,315,no,no,cellular,1,176,2,failure,no
214,73,retired,divorced,primary,no,5028,no,no,cellular,10,999,0,unknown,no
215,55,blue-collar,married,secondary,no,49,yes,no,cellular,4,999,0,unknown,no
216,59,technician,married,secondary,no,116,no,no,cellular,1,183,7,success,no
217,38,technician,divorced,secondary,no,902,yes,no,cellular,1,999,0,unknown,no
218,39,management,single,tertiary,,0,yes,no,cellular,1,93,3,success,no
219,31,management,single,tertiary,no,296,no,yes,cellular,4,999,0,unknown,no
220,22,student,single,secondary,no,0,no,no,cellular,6,999,0,unknown,no
221,33,technician,married,secondary,no,133,no,no,cellular,1,999,0,unknown,no
222,32,blue-collar,married,secondary,no,889,yes,no,cellular,2,85,3,nonexistent,no
223,23,admin.,single,tertiary,no,314,no,yes,cellular,4,999,0,unknown,no
224,26,management,single,tertiary,no,45,no,no,cellular,3,999,0,unknown,no
225,35,self-employed,married,secondary,no,188,yes,yes,unknown,2,999,0,unknown,no
226,72,retired,married,secondary,no,5715,no,no,cellular,5,184,3,success,no
227,34,management,single,tertiary,no,681,no,no,cellular,2,999,0,unknown,no
228,35,technician,married,tertiary,no,1629,no,no,cellular,4,999,0,unknown,no
229,37,technician,single,tertiary,no,197,no,no,cellular,1,200,1,success,no
230,35,technician,married,tertiary,no,328,yes,no,cellular,2,999,0,unknown,no
231,44,management,single,tertiary,no,1090,no,no,cellular,4,532,2,nonexistent,no
232,31,technician,single,secondary,no,846,no,no,cellular,3,205,2,failure,no
233,27,admin.,single,secondary,no,4745,no,no,telephone,4,192,1,nonexistent,no
234,38,services,single,secondary,no,91,no,no,cellular,1,999,0,unknown,no
235,42,services,married,tertiary,no,4216,no,no,cellular,2,999,0,unknown,no
236,38,services,married,secondary,no,775,no,no,cellular,3,182,2,success,no
237,36,technician,single,secondary,no,3254,yes,no,unknown,1,999,0,unknown,no
238,32,admin.,married,secondary,no,51,yes,yes,cellular,1,87,2,nonexistent,no
239,49,technician,married,tertiary,no,3726,no,no,cellular,2,999,0,unknown,no
240,25,blue-collar,single,secondary,no,-191,yes,no,unknown,7,999,0,unknown,no
241,48,management,married,tertiary,no,1093,yes,yes,cellular,2,999,0,unknown,no
242,30,management,single,tertiary,,985,yes,no,cellular,1,94,2,success,no
243,26,blue-collar,single,secondary,no,2007,no,no,cellular,1,92,5,success,no
244,52,management,married,secondary,no,335,no,no,cellular,1,182,1,failure,no
245,36,services,single,tertiary,no,1189,no,no,cellular,1,999,0,unknown,no
246,82,retired,married,primary,no,8603,no,no,cellular,1,999,0,unknown,no
247,48,management,married,tertiary,no,1949,yes,no,unknown,2,999,0,unknown,no
248,56,management,married,tertiary,no,830,yes,yes,unknown,1,999,0,unknown,no
249,19,student,single,unknown,,108,no,no,cellular,1,182,2,success,no
250,33,blue-collar,divorced,secondary,no,3546,yes,no,unknown,2,999,0,unknown,no
251,56,blue-collar,divorced,primary,no,-9,yes,yes,cellular,1,999,0,unknown,no
252,72,retired,married,primary,no,2304,no,no,telephone,4,999,0,unknown,no
253,56,blue-collar,single,secondary,no,663,no,yes,cellular,3,999,0,unknown,no
254,30,management,single,tertiary,,720,no,no,cellular,4,210,4,nonexistent,no
255,42,management,single,tertiary,no,11891,no,no,cellular,1,999,0,unknown,no
256,58,admin.,married,secondary,no,826,no,no,unknown,1,999,0,unknown,no
257,29,blue-collar,single,secondary,no,260,yes,no,unknown,14,999,0,unknown,no
258,49,blue-collar,married,secondary,no,1946,no,no,cellular,1,95,1,success,no
259,77,retired,divorced,secondary,no,0,no,no,cellular,1,999,0,unknown,no
260,60,services,single,primary,no,313,yes,no,unknown,2,999,0,unknown,no
261,73,retired,married,primary,no,796,no,no,cellular,1,182,2,failure,no
262,27,technician,single,tertiary,no,667,no,no,cellular,2,999,0,unknown,no
263,26,services,single,secondary,no,110,no,no,cellular,2,999,0,unknown,no
264,40,admin.,single,secondary,no,50,no,no,cellular,1,999,0,unknown,no
265,54,blue-collar,married,primary,no,1311,no,no,telephone,3,184,3,failure,no
266,42,management,married,unknown,no,1519,no,no,cellular,1,999,0,unknown,no
267,46,technician,single,secondary,no,5862,no,no,cellular,1,999,0,unknown,no
268,26,self-employed,single,secondary,no,551,no,no,cellular,1,999,0,unknown,no
269,30,blue-collar,single,secondary,no,161,no,yes,telephone,3,999,0,unknown,no
270,39,unemployed,divorced,secondary,no,265,yes,no,unknown,1,555,2,nonexistent,no
271,29,blue-collar,single,secondary,no,2,yes,yes,cellular,5,999,0,unknown,no
272,42,unemployed,divorced,secondary,no,1713,yes,no,unknown,2,999,0,unknown,no
273,38,management,divorced,secondary,no,257,yes,no,cellular,1,999,0,unknown,no
274,53,technician,married,secondary,no,-725,yes,no,unknown,1,999,0,unknown,no
275,72,self-employed,married,tertiary,no,132,no,no,cellular,2,65,1,success,no
276,28,blue-collar,married,secondary,no,61,yes,no,cellular,2,319,1,success,no
277,62,blue-collar,married,secondary,no,272,no,no,cellular,1,92,3,success,no
278,38,admin.,divorced,secondary,no,19,yes,no,unknown,2,999,0,unknown,no
279,47,management,single,tertiary,no,4402,no,no,telephone,1,190,1,nonexistent,no
280,61,housemaid,married,primary,no,211,no,no,cellular,2,186,3,failure,no
281,29,management,married,tertiary,no,51,yes,no,cellular,5,999,0,unknown,no
282,42,blue-collar,married,secondary,no,1598,yes,yes,cellular,2,999,0,unknown,no
283,54,blue-collar,married,secondary,no,548,no,no,cellular,7,999,0,unknown,no
284,57,management,married,tertiary,no,256,no,no,cellular,2,91,1,success,no
285,34,blue-collar,single,unknown,no,129,yes,yes,cellular,1,200,2,success,no
286,36,self-employed,single,tertiary,no,1240,no,no,cellular,3,999,0,unknown,no
287,40,technician,divorced,tertiary,no,568,yes,no,unknown,1,999,0,unknown,no
288,44,management,married,tertiary,no,1791,no,no,telephone,1,182,2,success,no
289,28,self-employed,single,tertiary,no,442,no,no,cellular,3,95,3,nonexistent,no
290,54,admin.,married,tertiary,no,184,no,no,unknown,2,999,0,unknown,no
291,54,services,divorced,secondary,no,0,no,no,cellular,1,290,3,success,no
292,38,technician,married,secondary,no,0,yes,no,cellular,1,999,0,unknown,no
293,30,management,single,tertiary,no,536,no,no,cellular,2,91,2,success,no
294,47,admin.,married,secondary,no,3070,no,no,cellular,4,999,0,unknown,no
295,36,unemployed,single,tertiary,no,1291,no,no,cellular,1,86,1,success,no
296,25,technician,single,secondary,no,102,no,yes,cellular,2,999,0,unknown,no
297,33,management,married,tertiary,no,1064,yes,no,cellular,1,999,0,unknown,no
298,33,unemployed,single,tertiary,no,1974,no,no,cellular,2,191,1,failure,no
299,30,technician,single,secondary,no,863,yes,no,unknown,5,999,0,unknown,no
300,63,retired,divorced,secondary,no,1490,no,no,cellular,1,999,0,unknown,no
301,33,housemaid,single,tertiary,no,1107,yes,no,cellular,1,999,0,unknown,no
302,42,entrepreneur,single,unknown,,323,no,no,unknown,1,999,0,unknown,no
303,31,admin.,divorced,secondary,no,217,yes,no,cellular,2,999,0,unknown,no
304,43,admin.,married,secondary,,132,no,no,cellular,2,71,1,success,no
305,30,blue-collar,single,tertiary,no,297,no,no,cellular,4,999,0,unknown,no
306,48,management,married,tertiary,no,2266,no,no,cellular,1,999,0,unknown,no
307,32,technician,single,secondary,no,230,yes,no,cellular,1,266,8,failure,no
308,32,management,single,tertiary,no,2,yes,no,cellular,2,999,0,unknown,no
309,46,admin.,married,secondary,no,556,yes,yes,unknown,3,999,0,unknown,no
310,71,retired,married,tertiary,no,4388,no,no,cellular,2,999,0,unknown,no
311,48,housemaid,married,tertiary,no,5473,no,no,cellular,2,184,2,success,no
312,45,blue-collar,married,secondary,no,61,yes,no,unknown,4,999,0,unknown,no
313,28,management,married,tertiary,,1240,no,no,cellular,1,999,0,unknown,no
314,65,retired,married,tertiary,no,2416,no,no,cellular,2,999,0,unknown,no
315,54,services,single,secondary,no,0,no,no,cellular,1,999,0,unknown,no
316,71,retired,married,primary,no,2600,no,no,cellular,1,999,0,unknown,no
317,56,retired,married,primary,no,9367,no,no,cellular,2,101,2,success,no
318,36,management,married,tertiary,no,203,no,no,cellular,1,999,0,unknown,no
319,39,services,divorced,secondary,no,0,yes,no,cellular,2,999,0,unknown,no
320,59,management,married,tertiary,no,7049,no,no,cellular,1,163,2,failure,no
321,76,retired,married,primary,no,1492,no,no,telephone,1,999,0,unknown,no
322,48,unemployed,married,secondary,no,817,no,no,cellular,1,282,4,success,no
323,39,blue-collar,married,secondary,no,462,yes,no,cellular,1,999,0,unknown,no
324,34,blue-collar,married,secondary,no,243,yes,no,cellular,1,999,0,unknown,no
325,33,blue-collar,single,secondary,no,498,no,no,cellular,1,999,0,unknown,no
326,48,blue-collar,single,primary,no,623,yes,no,cellular,2,999,0,unknown,no
327,35,admin.,single,secondary,no,0,yes,no,cellular,1,999,0,unknown,no
328,41,blue-collar,divorced,primary,no,285,yes,no,cellular,2,999,0,unknown,no
329,49,admin.,married,secondary,no,0,no,no,cellular,1,999,0,unknown,no
330,38,self-employed,single,tertiary,no,5774,yes,no,cellular,4,359,5,nonexistent,no
331,26,management,single,tertiary,no,2786,no,no,cellular,1,999,0,unknown,no
332,34,management,married,tertiary,no,589,no,no,cellular,2,999,0,unknown,no
333,26,blue-collar,single,secondary,no,5005,no,yes,cellular,1,999,0,unknown,no
334,49,services,married,secondary,no,388,no,no,telephone,4,999,0,unknown,no
335,37,technician,married,secondary,no,1707,yes,no,cellular,2,784,3,failure,no
336,74,retired,married,secondary,no,921,no,no,telephone,2,999,0,unknown,no
337,63,retired,married,secondary,no,18016,no,no,cellular,1,999,0,unknown,no
338,26,admin.,single,tertiary,no,2532,yes,yes,cellular,1,999,0,unknown,no
339,47,admin.,married,secondary,no,1210,no,no,cellular,1,91,4,failure,no
340,27,student,single,secondary,,538,no,no,cellular,2,999,0,unknown,no
341,24,student,single,tertiary,no,3415,no,no,cellular,1,999,0,unknown,no
342,43,technician,married,secondary,no,3285,yes,no,unknown,2,999,0,unknown,no
343,38,admin.,married,secondary,no,0,yes,yes,cellular,2,999,0,unknown,no
344,59,unemployed,single,primary,no,7724,no,no,cellular,3,999,0,unknown,no
345,41,services,single,secondary,,-675,yes,yes,cellular,4,999,0,unknown,no
346,28,management,single,tertiary,,957,no,no,cellular,2,999,0,unknown,no
347,43,management,single,tertiary,,1046,no,no,unknown,1,999,0,unknown,no
348,38,technician,single,tertiary,no,110,no,no,unknown,3,999,0,unknown,no
349,31,blue-collar,married,secondary,no,754,yes,no,unknown,4,999,0,unknown,no
350,49,management,married,tertiary,no,1,no,no,telephone,3,175,1,success,no
351,75,retired,married,secondary,no,3771,no,no,telephone,1,181,2,success,no
352,61,retired,married,tertiary,no,1257,no,no,cellular,1,999,0,unknown,no
353,59,services,divorced,secondary,no,1,yes,no,cellular,1,253,5,nonexistent,no
354,55,management,married,tertiary,no,12972,no,no,telephone,1,999,0,unknown,no
355,30,admin.,single,secondary,,-36,no,no,cellular,9,999,0,unknown,no
356,29,technician,single,secondary,,316,yes,no,cellular,1,999,0,unknown,no
357,40,admin.,married,secondary,,4775,no,no,cellular,1,999,0,unknown,no
358,66,retired,married,secondary,,203,no,no,cellular,1,999,0,unknown,no
359,61,self-employed,divorced,tertiary,no,6,yes,no,cellular,2,999,0,unknown,no
360,39,services,married,secondary,no,53,no,no,unknown,1,394,1,failure,no
