年齢,職業,婚姻,学歴,平均残高,住宅ローン,個人ローン
58,management,married,,1065,True,False
33,management,single,tertiary,34,True,False
36,blue-collar,married,,1033,False,False
53,services,divorced,secondary,1467,True,False
47,blue-collar,married,primary,-12,True,False
31,services,married,secondary,388,True,False
57,entrepreneur,married,secondary,294,True,False
53,blue-collar,married,,1827,False,False
55,blue-collar,married,primary,627,True,False
45,blue-collar,married,primary,25,True,False
53,admin.,divorced,secondary,315,True,False
37,blue-collar,married,primary,0,True,False
44,admin.,divorced,secondary,66,True,False
49,blue-collar,divorced,primary,-9,True,True
46,technician,married,secondary,349,True,True
43,entrepreneur,married,,100,True,False
38,admin.,married,secondary,0,False,False
43,technician,married,secondary,434,True,False
49,management,married,tertiary,3237,True,False
42,management,married,,275,False,False
22,blue-collar,single,secondary,0,True,False
40,management,married,tertiary,207,True,False
39,blue-collar,married,secondary,483,True,False
51,services,married,secondary,2248,True,False
49,admin.,married,secondary,428,True,False
53,blue-collar,married,secondary,0,True,True
34,services,single,secondary,0,True,False
33,technician,divorced,secondary,140,True,False
50,management,single,tertiary,297,True,False
39,blue-collar,married,primary,279,True,False
59,entrepreneur,divorced,secondary,901,True,False
30,technician,single,secondary,2573,True,False
36,services,married,secondary,143,True,True
40,blue-collar,married,secondary,475,True,False
53,blue-collar,married,secondary,70,True,False
34,management,single,tertiary,318,True,False
37,technician,married,secondary,275,True,False
42,management,divorced,tertiary,742,True,False
41,entrepreneur,married,primary,236,True,False
30,student,single,tertiary,25,True,False
37,management,single,tertiary,600,True,False
39,admin.,divorced,secondary,-349,True,False
41,blue-collar,married,primary,183,True,True
40,blue-collar,married,primary,0,True,False
42,management,single,tertiary,0,True,True
40,blue-collar,divorced,primary,0,True,False
57,technician,married,secondary,1078,True,False
56,entrepreneur,divorced,secondary,155,False,False
37,admin.,married,secondary,190,True,False
59,retired,married,secondary,319,True,False
39,services,divorced,secondary,-185,True,False
49,services,married,secondary,47,False,False
38,services,single,secondary,570,True,False
36,self-employed,married,tertiary,19,False,False
50,blue-collar,married,primary,61,True,False
41,admin.,married,secondary,-62,True,True
54,technician,married,tertiary,258,False,False
58,blue-collar,married,primary,76,True,False
30,blue-collar,single,secondary,0,True,False
33,admin.,single,secondary,352,True,False
47,admin.,married,secondary,368,True,False
50,technician,single,tertiary,339,True,False
32,blue-collar,married,secondary,1331,True,False
40,self-employed,married,secondary,672,True,False
37,management,married,tertiary,58,True,False
54,technician,single,,447,True,False
24,student,single,secondary,423,True,False
54,management,married,tertiary,0,False,False
34,technician,married,secondary,19,True,False
56,technician,divorced,primary,13,True,False
31,blue-collar,single,secondary,3,True,False
24,student,single,secondary,82,True,False
42,blue-collar,divorced,primary,28,True,False
57,technician,married,secondary,792,True,False
42,blue-collar,married,,408,True,False
51,admin.,married,secondary,531,True,False
57,retired,married,secondary,211,True,False
36,services,single,secondary,62,True,False
53,services,married,,257,True,False
50,technician,married,secondary,1234,True,False
54,management,married,tertiary,313,True,False
55,blue-collar,married,secondary,89,True,False
44,blue-collar,married,secondary,129,True,True
43,management,married,,0,True,False
56,admin.,married,secondary,353,True,False
54,technician,married,,851,True,False
55,services,divorced,primary,96,True,True
37,services,divorced,secondary,398,True,True
33,admin.,single,tertiary,193,False,False
46,admin.,married,secondary,-358,True,False
36,blue-collar,married,secondary,539,True,True
51,technician,single,secondary,0,True,False
40,retired,single,primary,0,False,False
42,blue-collar,married,secondary,490,True,False
51,blue-collar,married,secondary,0,True,False
49,blue-collar,married,,403,True,False
48,management,married,secondary,161,True,False
32,technician,divorced,tertiary,2558,False,False
31,admin.,single,secondary,98,True,False
55,management,single,tertiary,115,False,False
40,blue-collar,single,secondary,436,True,False
47,technician,married,tertiary,831,True,False
57,technician,married,,206,True,False
41,blue-collar,married,secondary,290,True,False
48,blue-collar,married,secondary,1,False,False
42,blue-collar,married,,57,True,False
30,blue-collar,single,secondary,-457,True,False
58,management,single,tertiary,1387,True,False
45,management,divorced,tertiary,24598,True,False
49,blue-collar,married,secondary,30,True,False
42,admin.,single,secondary,1022,True,False
53,technician,married,secondary,56,True,True
51,admin.,single,secondary,-2,False,False
32,services,single,secondary,121,True,False
41,blue-collar,single,secondary,842,True,False
43,management,divorced,secondary,693,True,False
40,blue-collar,divorced,secondary,-333,True,False
50,blue-collar,married,primary,1533,True,False
34,management,married,tertiary,46,True,False
53,services,married,,18,False,False
45,technician,married,secondary,44,True,False
39,blue-collar,married,primary,-100,True,False
44,services,married,tertiary,510,True,False
55,management,married,tertiary,685,True,False
46,management,single,tertiary,187,True,False
45,blue-collar,married,secondary,66,True,False
34,admin.,married,secondary,560,True,False
36,blue-collar,married,secondary,0,True,False
59,,divorced,,27,False,False
31,admin.,single,secondary,12,True,False
44,blue-collar,single,secondary,34,True,False
33,entrepreneur,single,tertiary,1068,True,False
40,blue-collar,married,secondary,211,True,False
46,admin.,single,tertiary,377,True,False
48,management,married,tertiary,263,True,False
42,services,married,secondary,1263,True,False
27,services,married,secondary,8,True,False
48,admin.,married,secondary,126,True,True
59,admin.,married,secondary,230,True,False
46,technician,married,tertiary,841,True,False
38,admin.,divorced,secondary,308,True,False
43,management,divorced,tertiary,1,True,False
38,admin.,divorced,tertiary,86,True,False
23,student,single,secondary,157,True,False
34,services,married,secondary,22,True,False
38,admin.,married,secondary,46,True,True
37,blue-collar,married,secondary,1293,False,False
25,admin.,single,secondary,122,True,False
48,blue-collar,married,,131,True,False
49,blue-collar,single,secondary,143,True,False
38,admin.,single,secondary,393,False,False
43,blue-collar,married,primary,98,True,False
33,management,married,tertiary,0,True,False
55,blue-collar,married,secondary,224,True,False
38,blue-collar,married,secondary,757,True,False
49,services,married,secondary,245,True,True
40,management,married,secondary,8486,False,False
43,admin.,married,,350,False,False
38,blue-collar,married,secondary,20,True,False
58,services,married,secondary,1667,True,True
57,technician,married,,345,True,False
32,unemployed,married,secondary,10,True,False
56,management,married,tertiary,830,True,True
58,blue-collar,divorced,,29,True,False
60,retired,divorced,secondary,545,True,False
37,technician,married,tertiary,8730,True,False
46,technician,divorced,tertiary,477,True,False
27,admin.,married,secondary,4,True,False
43,blue-collar,married,secondary,1205,True,False
32,technician,single,secondary,0,True,True
40,admin.,single,secondary,263,True,False
38,admin.,married,secondary,1,False,False
34,blue-collar,married,secondary,283,False,True
47,blue-collar,married,primary,206,True,False
42,housemaid,married,primary,17,True,False
48,technician,married,secondary,141,True,True
29,self-employed,single,tertiary,16,True,False
50,services,married,secondary,206,True,False
52,technician,married,,7,False,False
50,management,married,tertiary,0,False,False
58,retired,married,tertiary,0,False,False
46,blue-collar,divorced,primary,1927,True,False
38,technician,married,secondary,284,True,False
46,blue-collar,married,secondary,1660,True,False
32,services,single,secondary,406,True,False
51,blue-collar,married,primary,230,True,False
39,admin.,single,secondary,-25,True,False
48,admin.,married,secondary,182,True,False
36,entrepreneur,married,tertiary,1169,True,False
34,admin.,divorced,secondary,67,True,False
40,technician,married,secondary,77,False,False
43,unemployed,married,secondary,0,True,False
52,blue-collar,divorced,primary,55,True,True
33,technician,married,secondary,72,True,False
49,management,single,tertiary,163,True,False
32,management,single,tertiary,151,True,False
39,admin.,single,secondary,113,True,False
40,blue-collar,married,secondary,0,True,False
38,technician,single,tertiary,9,True,False
43,management,married,secondary,375,True,False
39,services,married,secondary,1142,True,False
54,blue-collar,married,primary,2102,True,False
38,technician,single,tertiary,4325,True,False
40,blue-collar,married,secondary,217,True,False
55,admin.,married,secondary,131,True,False
42,management,married,tertiary,1680,True,False
39,blue-collar,married,secondary,0,True,False
40,blue-collar,married,primary,46,True,False
32,blue-collar,married,secondary,320,True,False
55,admin.,married,secondary,183,True,False
45,blue-collar,married,secondary,39,False,False
35,management,single,tertiary,560,True,False
58,technician,divorced,secondary,469,False,False
35,admin.,married,secondary,530,True,False
49,services,married,primary,61,True,False
34,technician,single,tertiary,242,True,False
36,blue-collar,married,secondary,139,True,False
24,self-employed,single,secondary,0,True,False
34,technician,married,secondary,367,True,False
51,admin.,divorced,secondary,228,True,False
39,technician,single,,45248,True,False
50,self-employed,married,,-84,True,False
32,services,single,secondary,310,True,False
42,blue-collar,married,,132,True,False
50,technician,married,secondary,797,True,False
40,services,married,secondary,71,False,False
46,management,divorced,,2,True,False
37,management,married,tertiary,231,True,True
34,blue-collar,married,secondary,270,True,True
44,blue-collar,married,secondary,274,True,True
40,admin.,single,secondary,-109,True,True
37,technician,married,secondary,1,True,False
33,blue-collar,single,secondary,-60,False,False
35,blue-collar,married,secondary,89,True,False
58,blue-collar,divorced,secondary,-11,False,False
39,blue-collar,married,primary,0,True,False
43,blue-collar,married,secondary,-509,True,False
39,unemployed,married,primary,408,True,False
36,services,single,primary,58,True,False
57,retired,single,secondary,1640,False,True
36,admin.,single,secondary,20,True,False
50,blue-collar,married,primary,71,True,False
55,blue-collar,married,secondary,52,True,False
44,self-employed,married,tertiary,292,True,False
44,services,divorced,secondary,424,True,False
39,housemaid,single,primary,109,True,False
46,blue-collar,married,,1044,True,False
39,blue-collar,married,secondary,983,True,False
34,admin.,married,secondary,869,False,False
40,blue-collar,married,primary,668,True,False
50,management,married,tertiary,964,True,False
31,management,single,secondary,301,True,False
37,admin.,single,secondary,140,True,False
39,management,single,secondary,1877,True,False
51,blue-collar,married,primary,1127,True,False
41,technician,married,secondary,871,True,False
41,technician,married,secondary,767,True,True
43,blue-collar,married,secondary,0,False,False
30,services,single,secondary,209,True,False
54,management,divorced,primary,0,False,False
43,blue-collar,divorced,secondary,110,True,True
59,management,divorced,tertiary,-76,True,True
47,technician,married,,178,True,False
40,blue-collar,married,primary,-66,True,False
32,technician,married,secondary,0,True,False
29,blue-collar,married,secondary,1,True,False
36,blue-collar,married,secondary,0,True,False
55,unemployed,married,tertiary,5345,False,False
30,blue-collar,divorced,secondary,-209,True,False
39,admin.,single,secondary,0,True,False
39,blue-collar,divorced,secondary,42,True,False
50,blue-collar,divorced,secondary,41,True,False
44,blue-collar,married,secondary,-99,True,False
37,technician,single,secondary,17,True,False
46,admin.,married,primary,276,True,True
32,technician,single,,-170,False,False
37,management,single,tertiary,230,True,True
29,blue-collar,married,secondary,9,True,False
41,blue-collar,married,secondary,946,True,False
45,blue-collar,married,primary,1297,True,False
57,retired,divorced,secondary,-331,True,False
48,blue-collar,single,secondary,44,True,False
60,retired,married,secondary,15,False,False
26,admin.,single,secondary,712,True,False
58,retired,married,secondary,5435,True,False
34,admin.,married,secondary,507,True,False
55,unemployed,divorced,secondary,387,True,False
41,blue-collar,married,primary,0,True,True
50,management,divorced,secondary,1716,True,False
49,entrepreneur,married,secondary,167,True,True
44,admin.,married,,40,False,True
44,blue-collar,married,primary,148,True,False
31,technician,married,secondary,17,True,True
34,blue-collar,single,tertiary,1011,True,False
46,management,single,,1527,True,False
42,management,married,tertiary,744,False,False
52,admin.,married,secondary,484,True,False
29,management,single,tertiary,0,True,False
53,retired,married,primary,136,True,False
43,blue-collar,married,secondary,1335,True,False
38,management,married,secondary,517,True,False
46,management,married,tertiary,459,True,False
48,management,divorced,,549,True,False
30,admin.,divorced,secondary,83,True,True
44,blue-collar,married,primary,213,False,False
31,housemaid,married,primary,203,True,False
42,services,single,secondary,518,True,False
40,management,single,tertiary,3877,True,False
52,admin.,married,secondary,1236,True,False
45,blue-collar,divorced,secondary,756,True,False
48,blue-collar,married,secondary,157,True,False
45,blue-collar,married,primary,-66,True,False
34,blue-collar,married,,245,True,False
34,blue-collar,married,primary,-144,True,False
46,blue-collar,married,secondary,71,True,False
49,services,divorced,secondary,505,True,False
50,technician,married,primary,249,True,False
34,admin.,single,secondary,0,True,False
40,unemployed,single,secondary,11,True,False
36,admin.,married,secondary,639,True,False
59,blue-collar,divorced,,124,True,False
45,blue-collar,married,secondary,82,True,False
36,self-employed,married,tertiary,107,True,False
56,services,married,secondary,473,True,False
42,services,divorced,secondary,372,True,True
30,admin.,married,secondary,46,True,False
30,student,single,tertiary,34,True,False
47,self-employed,married,,935,True,False
33,blue-collar,married,secondary,-10,True,False
36,admin.,married,secondary,-106,True,False
39,services,divorced,primary,471,True,False
56,admin.,divorced,secondary,778,True,False
39,blue-collar,divorced,,170,True,False
42,technician,married,secondary,315,True,False
52,blue-collar,married,secondary,3165,False,False
36,admin.,divorced,secondary,131,True,False
35,entrepreneur,married,secondary,204,True,False
47,technician,married,secondary,83,True,False
59,services,divorced,secondary,0,True,True
57,blue-collar,married,primary,5431,True,True
38,management,married,,1759,True,False
46,unemployed,married,secondary,-125,True,False
34,blue-collar,married,secondary,0,False,False
28,services,single,secondary,5090,True,False
38,technician,married,,573,True,False
56,blue-collar,married,secondary,1602,True,False
41,blue-collar,single,primary,-137,True,True
52,technician,married,,0,False,False
54,services,married,secondary,193,False,False
61,retired,married,secondary,195,True,True
53,entrepreneur,married,secondary,288,False,False
47,technician,married,secondary,19,True,False
53,blue-collar,married,primary,25,True,False
46,services,married,secondary,216,True,False
39,blue-collar,divorced,primary,190,True,True
56,technician,divorced,secondary,99,True,False
55,services,divorced,primary,2298,True,False
44,management,married,tertiary,17,True,False
37,technician,married,primary,0,True,False
35,blue-collar,married,primary,0,True,False
55,blue-collar,married,secondary,840,True,False
37,services,married,secondary,358,True,False
30,technician,single,secondary,0,True,False
37,blue-collar,married,primary,-325,True,True
36,technician,single,secondary,-15,True,False
38,technician,married,secondary,581,True,False
41,admin.,divorced,primary,4070,True,False
48,retired,married,secondary,74,False,True
55,services,divorced,secondary,141,True,False
28,services,divorced,secondary,89,False,False
54,services,married,secondary,0,True,False
30,blue-collar,married,secondary,450,False,False
48,technician,married,tertiary,310,False,False
31,self-employed,married,secondary,0,True,False
38,blue-collar,married,secondary,384,True,False
37,blue-collar,married,secondary,395,True,False
37,services,single,,-118,True,False
56,blue-collar,married,primary,5,True,True
51,blue-collar,married,secondary,50,True,True
39,blue-collar,married,secondary,285,True,True
49,technician,married,,15,False,False
51,blue-collar,married,primary,653,True,True
43,self-employed,married,secondary,918,True,False
32,services,married,secondary,243,True,True
29,technician,single,tertiary,405,True,False
48,management,divorced,tertiary,1328,True,False
55,services,married,primary,255,True,False
53,blue-collar,married,secondary,3397,True,False
47,technician,married,,2106,True,False
39,management,married,tertiary,2877,True,False
31,blue-collar,single,tertiary,60,True,True
39,blue-collar,married,primary,2226,True,False
40,blue-collar,married,primary,2880,True,False
40,technician,single,,-5,True,False
48,technician,married,secondary,147,False,False
33,technician,divorced,secondary,7,True,True
40,technician,married,secondary,109,True,False
59,retired,married,primary,-119,True,False
30,technician,married,secondary,484,True,False
31,management,single,tertiary,1852,True,False
35,unemployed,married,secondary,533,True,False
54,technician,divorced,secondary,21,True,False
34,admin.,single,,2434,True,False
32,technician,married,secondary,90,True,True
56,admin.,divorced,,4246,True,False
32,admin.,single,tertiary,395,True,False
42,blue-collar,married,primary,15,True,False
33,services,married,tertiary,85,False,False
52,entrepreneur,married,tertiary,-184,True,True
52,services,married,secondary,660,False,False
52,blue-collar,divorced,primary,-183,True,False
30,unemployed,divorced,secondary,1144,True,False
44,services,divorced,secondary,1,True,False
35,admin.,married,secondary,69,True,True
55,management,single,secondary,220,True,False
33,blue-collar,married,primary,332,True,False
37,blue-collar,single,secondary,240,True,False
42,technician,single,secondary,0,True,False
43,unemployed,married,secondary,0,True,False
38,entrepreneur,married,tertiary,898,True,False
37,technician,married,secondary,123,True,True
31,student,single,secondary,252,True,False
41,management,married,tertiary,65,True,False
41,technician,married,secondary,-366,True,True
29,student,single,secondary,209,True,False
38,admin.,single,secondary,221,True,False
44,self-employed,divorced,tertiary,4,True,False
39,admin.,married,secondary,104,True,False
28,technician,single,secondary,312,True,False
33,blue-collar,married,secondary,-349,True,False
41,services,married,,4,False,False
40,blue-collar,married,primary,-322,True,True
29,admin.,married,secondary,-150,True,False
38,management,married,,1349,True,False
32,admin.,married,tertiary,281,True,False
45,services,married,secondary,1259,True,False
33,admin.,single,secondary,101,True,False
34,blue-collar,married,secondary,848,True,False
41,entrepreneur,married,,89,True,False
41,blue-collar,married,secondary,140,True,False
35,admin.,single,secondary,148,True,False
40,technician,single,secondary,200,True,False
60,self-employed,married,primary,46,True,False
47,services,divorced,secondary,201,True,False
46,blue-collar,married,primary,530,True,False
31,blue-collar,single,secondary,0,True,False
49,self-employed,married,secondary,1,True,False
29,blue-collar,married,secondary,43,True,False
31,management,single,tertiary,-173,True,False
38,management,married,tertiary,389,True,False
37,blue-collar,married,primary,215,True,True
35,technician,married,secondary,-131,True,False
31,management,single,secondary,783,True,False
41,admin.,married,secondary,0,True,False
46,services,married,,80,True,False
40,services,divorced,secondary,105,True,False
29,admin.,married,secondary,182,True,True
49,admin.,married,secondary,82,True,False
42,management,married,tertiary,0,True,False
54,services,married,secondary,510,True,False
40,management,single,tertiary,242,True,False
53,admin.,married,secondary,244,True,True
49,management,married,tertiary,92,True,False
40,blue-collar,married,primary,0,True,False
29,student,single,secondary,948,True,False
36,blue-collar,married,primary,23,True,False
37,technician,married,secondary,710,True,False
39,services,married,secondary,1205,True,False
36,technician,married,secondary,368,True,True
44,entrepreneur,married,tertiary,1631,True,False
40,admin.,married,secondary,6,True,False
49,blue-collar,married,secondary,26,True,False
30,technician,single,,-48,True,False
57,management,married,tertiary,2142,True,False
24,services,single,secondary,77,True,True
46,blue-collar,married,,401,True,False
33,admin.,married,secondary,21,False,False
43,services,divorced,secondary,0,True,False
43,admin.,single,secondary,-497,True,False
40,blue-collar,divorced,primary,369,False,False
44,technician,single,,78,True,False
35,technician,single,tertiary,226,True,True
47,technician,married,secondary,503,True,False
33,blue-collar,married,secondary,372,True,False
31,admin.,married,secondary,0,True,True
40,blue-collar,divorced,secondary,0,True,False
36,entrepreneur,married,tertiary,125,True,False
56,retired,divorced,primary,4,True,False
40,admin.,single,,419,True,False
41,admin.,divorced,secondary,322,True,False
53,retired,married,secondary,303,True,False
39,blue-collar,married,secondary,607,True,False
44,blue-collar,divorced,secondary,579,True,False
38,admin.,married,secondary,3047,True,False
54,technician,divorced,secondary,83,True,False
58,management,married,tertiary,68,True,False
52,blue-collar,married,primary,58,True,False
28,admin.,single,secondary,251,True,False
36,blue-collar,married,secondary,688,True,False
60,retired,married,primary,364,True,False
42,services,divorced,secondary,55,True,False
42,admin.,married,secondary,101,True,False
44,management,married,tertiary,105,True,False
51,blue-collar,divorced,primary,325,True,False
49,blue-collar,married,primary,198,True,False
47,entrepreneur,married,,209,True,False
37,blue-collar,married,secondary,183,True,False
34,management,married,tertiary,105,True,False
35,services,married,secondary,109,True,False
35,blue-collar,single,secondary,376,True,True
40,blue-collar,married,primary,-7,True,False
55,technician,married,secondary,0,False,False
55,retired,married,secondary,143,True,False
35,management,single,tertiary,550,True,False
57,blue-collar,married,primary,162,True,False
53,management,married,tertiary,115,True,False
41,blue-collar,married,primary,512,True,False
57,blue-collar,married,,807,True,False
45,blue-collar,married,,248,True,False
43,blue-collar,married,primary,1211,True,False
56,self-employed,married,,7,False,False
31,entrepreneur,married,tertiary,281,True,False
37,blue-collar,single,secondary,88,True,False
30,management,married,tertiary,32,True,False
30,admin.,single,secondary,115,True,False
54,blue-collar,married,secondary,254,True,False
36,management,married,tertiary,144,True,False
55,unemployed,married,tertiary,383,False,False
37,admin.,single,secondary,569,True,True
38,housemaid,married,secondary,0,True,False
48,admin.,married,secondary,3754,True,False
55,housemaid,divorced,tertiary,6920,True,False
59,services,married,secondary,307,True,True
37,technician,married,secondary,-421,True,False
33,blue-collar,divorced,secondary,60,False,False
44,blue-collar,married,primary,67,True,False
57,technician,married,secondary,402,True,False
30,self-employed,single,tertiary,800,False,False
42,technician,married,tertiary,239,True,True
