年齢,職業,婚姻,学歴,債務不履行,残高,住宅ローン,個人ローン,連絡手段,連絡回数_販促中,連絡後日数,連絡回数_販促前,前回販促結果,今回販促結果
41,services,married,secondary,no,446,yes,no,cellular,3,140,2,failure,no
44,housemaid,married,primary,no,-156,no,yes,cellular,2,-1,0,unknown,yes
27,admin.,married,secondary,no,53,yes,no,cellular,2,-1,0,unknown,no
75,retired,married,primary,no,358,no,no,cellular,11,-1,0,unknown,yes
32,self-employed,single,secondary,no,202,yes,no,cellular,1,149,1,failure,no
29,management,married,tertiary,no,451,no,no,cellular,1,92,2,failure,no
29,technician,single,tertiary,no,0,yes,no,cellular,2,337,6,failure,yes
49,entrepreneur,divorced,unknown,yes,-701,yes,no,cellular,2,-1,0,unknown,yes
69,retired,married,secondary,no,21446,no,no,telephone,2,-1,0,unknown,no
41,entrepreneur,married,secondary,no,-1882,yes,no,cellular,5,151,2,other,no
35,admin.,single,secondary,no,111,yes,no,cellular,1,195,3,failure,no
34,services,divorced,secondary,no,797,yes,no,cellular,1,126,1,failure,no
25,management,single,tertiary,no,2506,no,no,cellular,1,-1,0,unknown,yes
27,management,single,secondary,no,967,yes,no,unknown,1,-1,0,unknown,no
26,management,single,tertiary,no,3,yes,yes,cellular,1,350,1,success,yes
24,blue-collar,single,secondary,no,1,yes,no,cellular,2,-1,0,unknown,no
60,management,married,tertiary,no,553,yes,no,cellular,1,210,3,success,no
46,admin.,married,secondary,no,-522,yes,no,cellular,3,239,13,other,yes
30,technician,married,secondary,no,239,yes,no,cellular,2,95,8,failure,no
41,blue-collar,married,secondary,no,1384,yes,no,unknown,4,-1,0,unknown,yes
30,management,single,tertiary,no,697,no,no,cellular,2,181,8,success,yes
44,management,married,primary,no,294,no,no,cellular,3,-1,0,unknown,yes
32,technician,single,tertiary,no,932,yes,no,cellular,1,318,1,failure,yes
45,technician,married,secondary,no,280,yes,no,cellular,3,168,2,other,no
60,retired,single,tertiary,no,305,yes,no,cellular,5,211,3,other,no
28,services,single,secondary,no,0,no,no,cellular,1,-1,0,unknown,no
30,admin.,single,secondary,no,382,yes,no,cellular,1,191,1,failure,no
31,blue-collar,divorced,secondary,no,0,yes,yes,cellular,4,-1,0,unknown,yes
32,student,single,tertiary,no,64,no,no,cellular,4,105,5,failure,yes
45,self-employed,married,secondary,no,706,no,no,cellular,2,176,1,success,no
28,management,single,tertiary,no,1287,yes,no,cellular,1,-1,0,unknown,yes
50,management,married,tertiary,no,112,yes,no,cellular,5,85,5,other,no
26,technician,single,secondary,no,181,no,no,cellular,2,-1,0,unknown,yes
25,services,single,secondary,no,199,no,no,cellular,1,92,5,failure,no
28,management,married,tertiary,no,1240,no,no,cellular,1,-1,0,unknown,yes
24,student,single,secondary,no,8165,no,no,cellular,1,-1,0,unknown,yes
74,retired,married,tertiary,no,1843,no,no,cellular,2,184,3,success,yes
30,technician,single,secondary,no,2544,no,no,cellular,2,-1,0,unknown,yes
28,unemployed,married,secondary,no,858,yes,no,unknown,1,-1,0,unknown,no
46,management,married,tertiary,no,242,no,no,cellular,2,96,1,success,yes
58,management,married,tertiary,no,3342,no,no,cellular,5,-1,0,unknown,yes
49,services,married,secondary,no,202,yes,no,cellular,2,104,1,failure,yes
24,services,single,secondary,yes,-122,yes,no,unknown,1,-1,0,unknown,yes
27,technician,married,tertiary,no,77,yes,no,cellular,1,-1,0,unknown,no
37,admin.,married,secondary,no,1967,no,no,telephone,1,-1,0,unknown,yes
28,services,single,secondary,no,102,no,no,cellular,1,89,3,other,no
37,unemployed,married,tertiary,no,7620,no,no,telephone,1,176,6,failure,yes
44,admin.,married,secondary,no,4826,yes,no,cellular,1,185,4,other,no
36,housemaid,single,secondary,no,1015,yes,no,cellular,1,347,2,success,yes
35,technician,single,secondary,no,27,yes,no,cellular,1,305,1,other,yes
52,admin.,married,secondary,no,199,no,no,cellular,2,189,1,other,no
34,admin.,single,secondary,no,303,no,no,cellular,3,200,6,success,no
35,management,married,tertiary,no,3402,no,no,cellular,1,194,2,failure,no
27,blue-collar,married,secondary,no,4333,no,no,cellular,1,-1,0,unknown,yes
54,technician,divorced,secondary,no,859,no,yes,cellular,1,-1,0,unknown,yes
35,management,single,tertiary,no,471,no,no,cellular,2,-1,0,unknown,yes
58,management,divorced,tertiary,no,26254,yes,no,cellular,1,31,1,failure,no
34,management,married,secondary,yes,879,yes,no,cellular,1,344,1,failure,yes
30,management,married,tertiary,no,8089,yes,no,cellular,2,294,2,failure,yes
34,admin.,married,tertiary,no,79,yes,no,cellular,2,95,6,success,no
60,services,married,secondary,no,292,no,yes,cellular,5,195,4,failure,no
28,management,single,tertiary,no,866,no,no,cellular,2,-1,0,unknown,yes
37,technician,single,tertiary,no,0,yes,no,cellular,6,-1,0,unknown,yes
37,technician,single,tertiary,no,6101,no,no,cellular,1,-1,0,unknown,yes
74,retired,married,primary,no,10253,no,no,telephone,1,-1,0,unknown,no
43,blue-collar,married,secondary,no,699,yes,yes,cellular,2,122,2,other,yes
39,blue-collar,married,primary,no,3324,no,no,cellular,1,131,1,failure,no
33,technician,single,tertiary,no,317,yes,no,cellular,1,80,14,other,yes
56,technician,married,secondary,no,0,yes,yes,cellular,1,223,3,other,no
26,blue-collar,single,primary,no,409,yes,no,cellular,2,-1,0,unknown,yes
66,housemaid,married,primary,no,40,no,no,telephone,2,-1,0,unknown,yes
46,admin.,divorced,secondary,no,2196,no,no,cellular,5,-1,0,unknown,yes
27,services,single,tertiary,no,1501,yes,no,cellular,1,-1,0,unknown,no
31,self-employed,married,tertiary,no,2666,no,no,cellular,2,97,6,success,yes
37,blue-collar,married,secondary,no,4321,no,no,cellular,3,167,3,failure,no
43,self-employed,married,secondary,no,634,yes,no,cellular,1,131,1,failure,no
47,management,married,tertiary,no,3505,no,no,cellular,2,-1,0,unknown,yes
27,blue-collar,single,secondary,no,535,no,no,cellular,1,94,1,success,yes
32,management,single,tertiary,no,8436,yes,no,cellular,1,149,2,failure,no
28,management,single,tertiary,no,4937,yes,no,telephone,3,-1,0,unknown,no
47,admin.,single,secondary,no,3696,no,no,cellular,2,181,4,success,yes
30,services,single,secondary,yes,-366,yes,no,cellular,1,-1,0,unknown,yes
22,services,single,secondary,no,129,no,no,cellular,2,181,1,success,yes
46,entrepreneur,married,secondary,no,294,yes,no,cellular,1,196,1,failure,no
31,unemployed,single,secondary,no,582,yes,no,cellular,2,-1,0,unknown,yes
44,technician,divorced,secondary,no,314,yes,no,unknown,1,651,1,success,no
72,retired,married,secondary,no,5715,no,no,cellular,5,184,3,success,yes
29,blue-collar,single,secondary,no,2806,no,no,cellular,1,93,5,other,no
32,admin.,married,secondary,no,3052,yes,yes,cellular,3,151,4,failure,no
25,management,single,tertiary,no,219,no,no,cellular,1,96,1,success,yes
30,self-employed,married,unknown,no,1712,no,no,cellular,3,190,2,failure,no
30,technician,married,tertiary,no,569,no,no,cellular,12,-1,0,unknown,yes
39,management,married,tertiary,no,1795,no,no,cellular,7,-1,0,unknown,yes
48,management,single,tertiary,no,334,yes,no,cellular,2,92,12,success,yes
58,management,divorced,secondary,no,44,yes,no,cellular,1,195,1,other,no
46,technician,divorced,secondary,no,-90,no,yes,telephone,1,-1,0,unknown,yes
37,blue-collar,single,unknown,no,217,no,no,cellular,2,-1,0,unknown,yes
39,services,single,secondary,no,7066,yes,no,cellular,3,357,3,other,yes
55,management,divorced,tertiary,no,2383,no,no,cellular,2,63,2,success,yes
84,retired,divorced,primary,no,2619,no,no,telephone,2,115,2,failure,no
40,technician,divorced,tertiary,no,0,no,no,unknown,1,-1,0,unknown,yes
35,management,divorced,tertiary,no,859,yes,yes,cellular,1,-1,0,unknown,yes
38,technician,married,secondary,no,821,yes,yes,cellular,2,180,1,failure,no
41,services,married,unknown,no,1538,no,no,cellular,2,-1,0,unknown,yes
33,management,married,tertiary,no,7154,no,no,cellular,4,129,4,other,no
49,blue-collar,married,primary,no,217,yes,no,cellular,2,196,4,other,no
31,housemaid,married,secondary,no,243,yes,no,cellular,2,842,1,failure,yes
36,services,married,secondary,no,2984,yes,no,unknown,1,-1,0,unknown,yes
43,housemaid,single,primary,no,800,yes,no,cellular,1,-1,0,unknown,yes
52,admin.,married,secondary,no,1228,yes,yes,cellular,1,-1,0,unknown,yes
77,retired,married,tertiary,no,0,no,no,cellular,4,-1,0,unknown,no
47,blue-collar,married,primary,no,4227,yes,no,cellular,1,-1,0,unknown,yes
47,management,married,tertiary,no,0,no,no,cellular,1,-1,0,unknown,yes
19,student,single,secondary,no,394,no,no,cellular,3,-1,0,unknown,yes
54,management,divorced,tertiary,no,496,no,no,cellular,3,-1,0,unknown,yes
27,blue-collar,single,secondary,no,0,yes,no,unknown,1,-1,0,unknown,no
72,retired,married,unknown,no,1940,no,no,telephone,2,-1,0,unknown,yes
35,entrepreneur,married,tertiary,no,129,yes,no,cellular,3,151,5,other,no
31,services,single,secondary,no,13,no,yes,cellular,2,-1,0,unknown,yes
31,technician,married,tertiary,no,3192,yes,no,cellular,1,186,2,failure,no
37,management,married,tertiary,no,789,yes,yes,cellular,1,190,2,other,no
39,technician,married,secondary,no,603,no,yes,cellular,1,-1,0,unknown,yes
35,management,married,tertiary,no,43,no,no,cellular,4,-1,0,unknown,yes
31,admin.,single,secondary,no,523,no,yes,cellular,1,109,5,failure,no
27,admin.,married,secondary,no,-790,yes,no,cellular,4,-1,0,unknown,no
32,management,single,secondary,no,138,yes,no,cellular,1,182,9,other,no
56,blue-collar,married,secondary,no,1210,no,no,unknown,1,-1,0,unknown,yes
28,technician,single,secondary,no,227,no,no,cellular,1,-1,0,unknown,yes
28,blue-collar,single,secondary,no,455,yes,no,cellular,1,-1,0,unknown,no
25,blue-collar,single,secondary,no,217,yes,no,cellular,1,-1,0,unknown,yes
54,retired,divorced,tertiary,no,349,yes,no,cellular,2,175,1,failure,no
36,technician,married,secondary,no,154,yes,no,cellular,1,96,2,other,no
33,management,divorced,tertiary,no,0,yes,yes,cellular,7,94,8,failure,no
32,management,single,tertiary,no,0,no,no,cellular,1,159,1,other,no
27,technician,single,secondary,no,471,yes,yes,cellular,2,-1,0,unknown,no
27,management,single,tertiary,yes,-713,yes,no,unknown,2,-1,0,unknown,yes
37,services,married,secondary,no,981,no,no,cellular,2,386,1,success,yes
33,technician,married,tertiary,no,1699,no,no,cellular,2,94,1,success,yes
33,services,married,secondary,no,1076,no,no,cellular,1,96,5,failure,yes
46,technician,married,secondary,no,57,no,no,unknown,1,-1,0,unknown,yes
39,self-employed,married,tertiary,no,2630,no,no,unknown,5,-1,0,unknown,yes
75,retired,married,tertiary,no,6027,no,no,cellular,2,94,2,failure,yes
26,technician,single,secondary,yes,-516,yes,no,unknown,2,-1,0,unknown,no
27,student,single,unknown,no,1444,no,no,cellular,1,91,2,failure,no
46,technician,married,secondary,no,536,yes,no,unknown,2,-1,0,unknown,yes
27,blue-collar,single,secondary,no,3792,no,no,cellular,2,-1,0,unknown,yes
27,unemployed,single,secondary,no,3276,no,no,cellular,1,110,2,other,no
30,admin.,married,secondary,no,8781,yes,no,cellular,1,-1,0,unknown,yes
28,self-employed,single,secondary,no,-395,yes,no,unknown,4,-1,0,unknown,no
45,blue-collar,married,primary,yes,-443,yes,yes,cellular,1,-1,0,unknown,yes
44,management,married,unknown,no,282,no,no,cellular,3,-1,0,unknown,yes
29,technician,single,secondary,no,590,no,no,cellular,1,94,1,success,yes
18,student,single,unknown,no,108,no,no,cellular,1,-1,0,unknown,yes
27,admin.,married,secondary,no,941,yes,no,cellular,1,-1,0,unknown,no
30,blue-collar,married,primary,no,201,yes,no,cellular,1,157,12,failure,yes
76,retired,married,secondary,no,2302,no,no,telephone,1,87,2,failure,no
34,management,single,tertiary,no,5945,yes,no,cellular,1,170,1,failure,no
50,services,married,secondary,no,3169,no,no,cellular,1,430,1,failure,yes
40,management,married,secondary,no,406,yes,no,unknown,2,-1,0,unknown,yes
56,retired,married,secondary,no,393,no,yes,cellular,1,206,1,failure,no
35,blue-collar,married,secondary,no,86,no,no,cellular,1,111,2,failure,no
25,blue-collar,single,secondary,no,0,yes,no,unknown,2,-1,0,unknown,no
23,blue-collar,single,secondary,no,-95,yes,no,unknown,3,-1,0,unknown,no
35,services,single,secondary,no,719,yes,no,cellular,3,368,3,failure,yes
59,retired,married,primary,no,741,no,no,cellular,2,152,2,failure,no
26,admin.,divorced,secondary,yes,-3,yes,no,unknown,5,-1,0,unknown,no
27,services,single,tertiary,no,691,no,yes,cellular,12,-1,0,unknown,no
30,blue-collar,married,secondary,no,309,yes,no,unknown,2,-1,0,unknown,yes
25,services,divorced,secondary,no,1694,no,no,cellular,2,-1,0,unknown,no
45,blue-collar,married,secondary,no,243,no,no,cellular,1,163,1,other,no
28,admin.,single,secondary,no,19,no,no,cellular,4,-1,0,unknown,no
40,technician,single,tertiary,no,1175,no,no,cellular,1,-1,0,unknown,yes
25,unemployed,single,tertiary,no,343,no,no,cellular,1,-1,0,unknown,yes
34,blue-collar,single,secondary,no,4536,yes,no,cellular,1,-1,0,unknown,yes
27,housemaid,married,secondary,no,22,yes,yes,unknown,1,-1,0,unknown,no
90,retired,divorced,secondary,no,1,no,no,cellular,3,-1,0,unknown,yes
36,self-employed,married,tertiary,no,506,no,no,cellular,1,120,1,failure,no
30,admin.,single,secondary,no,1309,no,no,cellular,1,-1,0,unknown,yes
59,retired,married,tertiary,no,422,yes,no,cellular,4,-1,0,unknown,yes
44,management,married,primary,no,5418,yes,yes,cellular,1,185,5,failure,no
43,management,married,tertiary,no,21510,no,no,cellular,2,-1,0,unknown,no
53,services,married,secondary,no,341,no,no,cellular,2,104,2,success,no
46,admin.,married,unknown,no,5511,no,no,cellular,2,389,1,success,yes
28,unemployed,single,tertiary,no,0,no,no,telephone,1,-1,0,unknown,no
40,unemployed,married,secondary,no,0,yes,no,cellular,1,183,1,failure,no
23,student,single,tertiary,no,341,no,no,cellular,2,-1,0,unknown,no
26,management,single,tertiary,no,155,yes,no,cellular,4,43,5,other,no
32,blue-collar,married,secondary,no,0,yes,no,cellular,1,170,1,other,no
47,blue-collar,married,primary,no,2,yes,yes,cellular,4,190,1,failure,no
26,student,single,secondary,no,203,no,no,cellular,1,196,1,failure,no
45,management,single,tertiary,no,483,no,no,cellular,2,265,11,other,yes
69,management,married,secondary,no,4,no,no,cellular,4,-1,0,unknown,no
69,retired,divorced,primary,no,482,no,no,cellular,2,-1,0,unknown,yes
28,management,single,secondary,no,1633,no,no,cellular,1,95,1,success,no
39,technician,single,secondary,no,15,yes,no,cellular,1,-1,0,unknown,yes
28,admin.,married,secondary,no,317,yes,no,cellular,2,-1,0,unknown,no
37,unemployed,single,tertiary,no,1316,yes,no,cellular,1,172,2,failure,no
26,blue-collar,married,primary,no,755,yes,no,unknown,1,-1,0,unknown,no
54,management,single,tertiary,no,2081,no,no,cellular,2,108,1,failure,no
34,admin.,single,tertiary,no,18,yes,yes,cellular,1,-1,0,unknown,yes
39,management,single,tertiary,no,313,no,yes,cellular,5,196,1,other,no
24,admin.,single,secondary,no,1055,no,no,cellular,1,-1,0,unknown,no
50,technician,married,secondary,no,3149,yes,no,cellular,1,190,1,other,no
24,blue-collar,married,secondary,no,9,yes,no,unknown,7,-1,0,unknown,no
25,services,single,secondary,no,88,yes,no,cellular,18,-1,0,unknown,no
81,retired,married,primary,no,5220,no,no,telephone,1,94,2,other,yes
48,management,married,tertiary,no,370,yes,no,cellular,2,169,2,other,no
41,management,single,tertiary,no,11008,no,no,unknown,1,-1,0,unknown,yes
26,technician,single,tertiary,no,3411,no,no,cellular,1,183,2,success,no
39,blue-collar,married,secondary,no,1307,yes,no,telephone,1,-1,0,unknown,yes
41,services,married,secondary,no,6687,yes,no,cellular,2,123,3,failure,no
35,blue-collar,married,secondary,no,262,no,no,cellular,2,109,4,success,no
60,management,married,tertiary,no,474,no,no,cellular,5,186,3,other,yes
31,management,divorced,tertiary,no,373,no,no,cellular,6,-1,0,unknown,yes
27,student,single,tertiary,no,24025,no,no,cellular,1,-1,0,unknown,no
32,admin.,single,secondary,no,154,yes,no,cellular,1,521,2,failure,no
65,retired,married,tertiary,no,1973,no,no,telephone,3,-1,0,unknown,yes
53,admin.,married,secondary,no,8892,yes,no,cellular,1,174,1,failure,no
27,services,married,secondary,no,0,yes,no,cellular,13,-1,0,unknown,yes
26,services,single,secondary,no,512,yes,yes,unknown,3,-1,0,unknown,no
52,management,married,tertiary,no,-970,yes,no,cellular,1,-1,0,unknown,yes
32,technician,single,tertiary,no,6746,no,no,cellular,1,-1,0,unknown,yes
43,management,divorced,unknown,no,7702,no,no,cellular,7,102,3,success,no
25,student,single,secondary,no,108,no,no,cellular,3,-1,0,unknown,yes
32,blue-collar,married,primary,no,634,no,no,cellular,1,-1,0,unknown,yes
28,self-employed,single,secondary,no,131,yes,no,unknown,14,-1,0,unknown,no
60,housemaid,divorced,secondary,no,2063,no,no,cellular,5,86,3,failure,no
35,technician,married,secondary,no,2019,yes,yes,cellular,2,144,1,failure,no
34,admin.,married,tertiary,no,0,no,no,cellular,2,-1,0,unknown,yes
25,student,single,secondary,no,3713,no,no,cellular,2,353,3,other,yes
43,unemployed,married,primary,no,519,no,no,unknown,2,-1,0,unknown,yes
28,blue-collar,single,secondary,yes,0,no,yes,cellular,1,-1,0,unknown,no
43,self-employed,married,tertiary,no,2501,no,no,cellular,2,161,4,failure,no
24,student,single,secondary,no,1684,no,no,cellular,4,-1,0,unknown,no
30,technician,single,secondary,no,3144,no,no,cellular,2,-1,0,unknown,yes
34,blue-collar,married,secondary,no,360,yes,no,telephone,1,182,2,failure,no
27,technician,single,secondary,no,126,yes,yes,cellular,4,-1,0,unknown,no
45,technician,divorced,secondary,no,2657,no,no,cellular,3,-1,0,unknown,yes
26,blue-collar,married,secondary,no,484,yes,no,unknown,2,-1,0,unknown,no
46,services,married,secondary,no,0,yes,no,cellular,1,124,1,other,no
49,entrepreneur,married,tertiary,no,313,yes,no,cellular,2,188,2,failure,no
24,admin.,single,secondary,no,1052,no,no,cellular,1,-1,0,unknown,yes
28,admin.,married,secondary,no,1595,no,no,cellular,1,254,4,success,yes
29,technician,married,secondary,no,95,no,yes,cellular,3,-1,0,unknown,yes
33,blue-collar,single,tertiary,no,700,no,no,cellular,1,80,2,success,yes
37,blue-collar,single,secondary,no,133,yes,no,cellular,2,-1,0,unknown,yes
27,services,single,secondary,no,223,yes,yes,cellular,2,-1,0,unknown,no
35,blue-collar,single,unknown,no,484,no,no,cellular,2,186,1,failure,no
36,self-employed,single,tertiary,no,1240,no,no,cellular,3,-1,0,unknown,yes
29,admin.,single,secondary,no,1277,no,no,cellular,2,481,1,success,yes
60,retired,married,secondary,no,523,no,no,cellular,3,-1,0,unknown,yes
71,retired,married,primary,no,2988,no,no,telephone,1,-1,0,unknown,yes
31,management,married,tertiary,no,156,no,no,cellular,7,-1,0,unknown,yes
28,entrepreneur,married,secondary,no,422,yes,no,unknown,2,-1,0,unknown,no
38,technician,married,secondary,no,6728,no,no,cellular,4,-1,0,unknown,yes
71,retired,married,primary,no,10394,no,no,telephone,1,-1,0,unknown,no
32,blue-collar,single,primary,no,354,no,no,cellular,1,196,8,failure,no
33,blue-collar,single,secondary,no,498,no,no,cellular,1,-1,0,unknown,yes
34,blue-collar,single,secondary,no,1759,no,yes,cellular,1,-1,0,unknown,yes
35,admin.,single,secondary,no,0,yes,no,cellular,1,-1,0,unknown,yes
38,management,single,unknown,no,715,yes,no,cellular,1,132,3,failure,no
38,services,divorced,primary,no,0,yes,no,cellular,1,155,2,failure,no
28,technician,single,secondary,no,-97,no,no,cellular,4,-1,0,unknown,no
32,admin.,married,tertiary,no,233,yes,no,cellular,2,133,4,failure,no
54,management,divorced,tertiary,no,12018,yes,no,cellular,2,-1,0,unknown,yes
78,retired,married,tertiary,no,226,no,no,telephone,1,-1,0,unknown,no
37,admin.,single,secondary,no,862,no,no,cellular,1,122,2,failure,no
40,unemployed,married,secondary,no,1960,yes,no,unknown,6,-1,0,unknown,yes
39,management,single,tertiary,no,1515,yes,no,cellular,6,167,6,failure,yes
28,blue-collar,married,secondary,no,214,yes,yes,cellular,3,-1,0,unknown,no
72,retired,married,secondary,no,1129,no,no,cellular,1,-1,0,unknown,yes
47,admin.,married,tertiary,no,97,yes,no,cellular,1,87,3,failure,no
73,retired,married,primary,no,1388,no,no,telephone,1,97,6,failure,no
33,services,married,secondary,no,1697,no,no,cellular,1,182,1,success,yes
29,self-employed,single,tertiary,no,3290,no,no,cellular,1,291,2,success,yes
39,services,married,secondary,no,323,no,no,cellular,2,188,6,failure,yes
74,retired,married,primary,no,5539,no,no,cellular,2,159,3,failure,no
44,management,married,tertiary,no,309,yes,no,cellular,1,-1,0,unknown,yes
45,management,married,secondary,no,2897,no,no,cellular,2,88,5,failure,no
42,unemployed,married,secondary,no,356,yes,no,cellular,3,356,2,failure,yes
35,management,single,tertiary,no,1750,yes,no,cellular,3,-1,0,unknown,yes
53,management,divorced,secondary,no,1004,no,yes,telephone,1,-1,0,unknown,yes
44,management,married,secondary,no,488,no,yes,cellular,2,183,11,failure,no
43,self-employed,single,unknown,no,3173,no,no,unknown,1,-1,0,unknown,yes
39,unemployed,married,primary,no,7005,yes,no,cellular,2,184,3,success,yes
73,retired,divorced,tertiary,no,3203,no,no,cellular,1,-1,0,unknown,yes
22,student,single,secondary,no,23,no,no,cellular,1,-1,0,unknown,yes
51,admin.,married,secondary,no,949,no,no,cellular,1,-1,0,unknown,yes
43,unemployed,married,secondary,no,1943,yes,no,cellular,2,136,2,failure,no
31,technician,single,tertiary,no,882,no,no,cellular,1,93,1,success,yes
32,management,married,tertiary,no,3154,no,no,cellular,2,150,2,failure,no
72,self-employed,married,tertiary,no,132,no,no,cellular,2,65,1,success,yes
37,management,married,tertiary,no,7974,yes,no,cellular,5,158,7,other,no
44,technician,married,secondary,yes,16486,yes,yes,cellular,3,-1,0,unknown,no
26,blue-collar,married,primary,no,5116,yes,no,cellular,3,-1,0,unknown,no
35,blue-collar,divorced,secondary,no,0,yes,no,unknown,1,-1,0,unknown,yes
47,housemaid,single,tertiary,no,3232,no,no,telephone,1,204,3,failure,no
36,management,married,tertiary,no,5057,yes,no,cellular,1,166,10,failure,no
32,student,single,tertiary,no,1138,no,no,cellular,3,83,3,success,yes
59,management,married,tertiary,no,287,yes,no,cellular,2,242,8,failure,no
28,student,single,secondary,no,970,no,no,cellular,1,96,1,failure,no
33,services,married,secondary,no,478,no,no,cellular,2,-1,0,unknown,yes
70,retired,married,secondary,no,2384,no,no,cellular,2,-1,0,unknown,yes
27,management,single,tertiary,no,390,no,no,cellular,1,82,1,success,no
32,management,single,tertiary,no,1882,no,no,cellular,5,-1,0,unknown,yes
32,entrepreneur,single,primary,no,1770,no,yes,cellular,2,188,6,failure,no
60,management,married,tertiary,no,315,no,no,cellular,1,183,3,success,yes
60,management,married,secondary,no,544,no,no,cellular,7,357,2,failure,yes
46,blue-collar,single,tertiary,no,283,no,no,cellular,1,-1,0,unknown,yes
43,blue-collar,divorced,secondary,no,-91,yes,yes,cellular,3,167,4,other,no
30,management,married,tertiary,no,10884,no,no,cellular,2,-1,0,unknown,yes
36,technician,single,tertiary,no,197,no,no,cellular,1,-1,0,unknown,yes
52,admin.,divorced,secondary,no,363,yes,no,cellular,1,462,1,success,yes
26,management,single,tertiary,no,4683,yes,no,cellular,2,180,1,failure,no
34,management,married,secondary,no,369,no,no,cellular,3,342,4,failure,yes
