年齢,職業,婚姻状況,学歴,債務不履行,残高,住宅ローン,個人ローン,連絡手段,日,月,通話時間,キャンペーン,直前接触日,過去接触回数,前回接触結果,申込有無
41,technician,single,secondary,False,879,False,True,cellular,7,jul,60,4,-1,0,,False
35,blue-collar,single,primary,False,293,True,False,,30,may,521,2,-1,0,,False
38,admin.,married,secondary,False,424,True,False,cellular,17,apr,279,1,-1,0,,False
34,blue-collar,married,secondary,False,1831,True,False,,20,may,203,2,-1,0,,False
39,blue-collar,married,primary,False,111,False,False,cellular,18,nov,201,2,-1,0,,False
34,blue-collar,married,primary,False,455,True,False,,20,jun,372,3,-1,0,,False
27,services,single,secondary,False,-195,True,False,cellular,18,may,391,1,-1,0,,True
32,management,single,tertiary,False,3616,False,False,cellular,14,aug,165,2,-1,0,,False
57,blue-collar,married,secondary,False,14093,False,False,cellular,11,aug,231,5,-1,0,,False
41,,single,tertiary,False,1567,False,False,cellular,1,jul,291,2,-1,0,,False
41,admin.,married,tertiary,False,5426,True,False,,14,may,149,2,-1,0,,False
30,admin.,single,tertiary,False,261,False,False,cellular,19,oct,233,1,137,20,failure,False
36,blue-collar,divorced,secondary,False,2843,False,False,cellular,12,feb,473,1,182,1,success,False
31,unemployed,single,primary,False,406,False,False,cellular,4,feb,736,1,-1,0,,True
36,blue-collar,married,secondary,False,0,True,False,,6,may,337,1,-1,0,,False
38,management,single,tertiary,False,493,True,False,cellular,11,may,553,1,367,7,failure,False
49,technician,married,secondary,False,5996,False,False,telephone,21,nov,345,2,-1,0,,False
57,services,single,primary,False,3777,True,False,telephone,13,may,65,2,-1,0,,False
34,management,single,secondary,False,524,False,False,,13,aug,9,1,-1,0,,False
32,management,single,tertiary,False,574,True,False,cellular,14,apr,259,2,145,3,failure,False
37,blue-collar,married,secondary,False,427,True,True,,9,jun,371,3,-1,0,,False
33,self-employed,married,tertiary,False,483,True,False,cellular,3,feb,280,2,-1,0,,False
56,unemployed,married,primary,False,3391,False,False,cellular,21,apr,243,1,-1,0,,True
27,housemaid,married,primary,False,0,True,False,cellular,23,jul,435,3,-1,0,,False
21,student,single,secondary,False,2488,False,False,cellular,30,jun,258,6,169,3,success,True
58,management,married,tertiary,False,1517,True,False,telephone,29,jul,7,5,-1,0,,False
32,self-employed,married,secondary,False,217,True,True,cellular,15,jul,317,5,-1,0,,False
33,blue-collar,single,secondary,False,22,False,False,cellular,30,jan,76,2,207,1,failure,False
25,student,single,secondary,False,331,False,False,telephone,26,aug,170,4,-1,0,,True
25,technician,single,secondary,False,505,False,True,cellular,17,nov,386,2,-1,0,,True
30,services,married,secondary,False,1808,True,False,cellular,18,may,83,2,-1,0,,False
22,admin.,single,secondary,False,4111,False,True,cellular,19,aug,65,1,-1,0,,False
39,blue-collar,married,primary,False,52,False,False,cellular,13,aug,69,1,-1,0,,False
46,management,divorced,tertiary,False,25,False,False,,17,jun,564,2,-1,0,,False
31,admin.,divorced,secondary,False,1890,True,False,cellular,21,jul,588,1,-1,0,,False
45,blue-collar,married,primary,False,419,False,False,cellular,18,aug,113,4,-1,0,,False
32,technician,married,secondary,False,2693,True,False,,21,may,16,1,-1,0,,False
36,blue-collar,married,secondary,False,-231,False,True,cellular,15,jul,779,2,-1,0,,False
51,management,single,tertiary,True,-55,True,False,cellular,11,may,281,2,266,6,failure,False
34,self-employed,single,tertiary,False,462,False,False,cellular,21,aug,1877,3,-1,0,,True
24,unemployed,single,secondary,False,119,False,False,,15,sep,51,1,-1,0,,False
45,technician,single,secondary,False,586,False,True,cellular,28,jul,32,3,-1,0,,False
32,blue-collar,single,secondary,False,228,False,False,telephone,5,feb,176,1,288,3,failure,False
77,retired,divorced,tertiary,False,4659,False,False,cellular,14,apr,161,1,-1,0,,True
41,blue-collar,married,primary,False,168,True,False,cellular,18,nov,187,3,-1,0,,False
37,blue-collar,married,primary,False,0,True,False,,26,may,24,1,-1,0,,False
43,blue-collar,married,,True,-715,True,False,,30,may,67,3,-1,0,,False
48,admin.,married,,False,0,True,False,cellular,8,may,85,1,168,2,failure,False
27,technician,single,secondary,False,769,True,False,,9,may,317,2,-1,0,,False
33,management,single,tertiary,False,0,False,False,cellular,28,aug,236,10,-1,0,,False
29,admin.,single,secondary,False,428,True,True,cellular,7,may,54,1,345,2,failure,False
34,management,single,tertiary,False,0,False,False,cellular,5,feb,71,1,-1,0,,False
52,management,married,tertiary,False,-970,True,False,cellular,4,feb,489,1,-1,0,,True
60,management,married,,False,6313,False,False,,19,jun,39,2,-1,0,,False
32,management,divorced,tertiary,False,948,False,False,cellular,12,aug,204,2,-1,0,,False
32,management,single,tertiary,False,0,True,False,cellular,22,jul,455,2,-1,0,,False
56,services,divorced,,False,1877,True,False,,30,may,86,1,-1,0,,False
31,management,single,tertiary,False,874,True,False,cellular,18,nov,190,2,-1,0,,False
42,admin.,married,secondary,False,323,True,True,,8,may,280,2,-1,0,,False
35,management,married,tertiary,False,106,False,True,cellular,11,aug,588,2,-1,0,,False
56,retired,married,primary,False,1906,False,True,,19,jun,45,9,-1,0,,False
48,technician,married,secondary,False,1152,True,False,cellular,21,jul,168,5,-1,0,,False
46,admin.,married,secondary,False,179,True,False,cellular,29,jan,194,4,436,1,other,False
37,technician,single,,False,391,True,False,,8,may,103,3,-1,0,,False
41,entrepreneur,married,,False,89,True,False,,6,may,333,2,-1,0,,False
36,management,single,tertiary,False,442,True,True,cellular,29,jul,102,3,-1,0,,False
45,unemployed,divorced,primary,True,-249,True,True,,1,jul,92,1,-1,0,,False
55,entrepreneur,married,secondary,False,8104,False,False,cellular,6,feb,213,2,-1,0,,False
39,technician,married,secondary,False,501,False,False,,26,may,289,1,-1,0,,False
35,technician,divorced,secondary,False,308,False,False,cellular,22,aug,77,2,-1,0,,False
55,admin.,married,secondary,False,602,False,False,cellular,1,jun,324,3,90,2,success,True
55,technician,married,secondary,False,273,True,False,cellular,29,jan,84,3,183,3,failure,False
27,self-employed,single,secondary,False,50,False,False,cellular,29,jan,168,1,-1,0,,False
34,technician,married,secondary,False,1641,True,False,cellular,17,apr,380,1,-1,0,,False
34,blue-collar,married,tertiary,False,20,False,False,,4,oct,10,1,-1,0,,False
25,admin.,single,secondary,False,4590,True,False,,28,may,199,2,-1,0,,False
41,admin.,single,secondary,False,-256,False,True,,9,may,35,3,-1,0,,False
43,services,married,secondary,False,978,True,True,,26,may,82,2,-1,0,,False
28,management,single,tertiary,False,80,False,False,cellular,20,oct,676,2,146,2,failure,True
31,admin.,single,secondary,False,2104,True,False,,3,jun,455,1,-1,0,,False
78,housemaid,married,secondary,False,499,False,False,telephone,16,mar,80,4,-1,0,,False
45,blue-collar,divorced,secondary,False,1269,True,False,cellular,29,jan,549,2,-1,0,,False
48,technician,married,tertiary,False,310,False,False,,6,may,135,1,-1,0,,False
32,blue-collar,single,secondary,False,1143,True,True,cellular,10,jul,412,1,-1,0,,False
42,technician,married,secondary,False,2980,False,False,,20,jun,101,3,-1,0,,False
37,management,single,tertiary,False,37,False,False,cellular,28,jan,253,2,-1,0,,False
40,admin.,single,secondary,False,462,True,True,cellular,6,apr,272,1,335,4,other,False
32,admin.,married,secondary,False,1031,True,False,cellular,17,jul,84,1,-1,0,,False
42,management,married,tertiary,False,9009,False,False,cellular,20,nov,135,2,-1,0,,False
43,admin.,married,secondary,False,-465,True,True,cellular,23,jul,166,1,-1,0,,False
44,admin.,married,secondary,False,5181,True,True,cellular,31,jul,18,7,-1,0,,False
37,admin.,married,secondary,False,176,True,False,cellular,5,may,147,2,347,1,failure,False
37,,married,,False,1699,False,False,,9,jun,63,1,-1,0,,False
37,admin.,married,tertiary,False,0,True,False,cellular,17,nov,65,2,119,1,failure,False
28,technician,single,tertiary,False,172,True,True,cellular,2,feb,194,2,-1,0,,False
32,services,single,secondary,False,0,False,True,cellular,11,jul,333,2,-1,0,,False
34,admin.,single,secondary,False,6979,True,False,cellular,15,may,14,5,-1,0,,False
40,admin.,divorced,secondary,False,6,False,False,,11,jun,140,1,-1,0,,False
34,services,married,secondary,False,-62,True,False,,16,jun,109,3,-1,0,,False
34,self-employed,married,tertiary,False,1972,True,False,cellular,23,jul,61,2,-1,0,,False
34,admin.,married,tertiary,False,899,True,False,telephone,19,nov,377,3,7,4,success,False
37,services,single,secondary,False,21,True,False,cellular,2,feb,96,1,271,2,other,False
36,technician,married,secondary,False,23,True,False,cellular,8,may,152,2,347,1,failure,False
56,retired,married,secondary,False,-1206,True,False,cellular,15,jun,382,2,-1,0,,True
49,blue-collar,married,primary,False,0,True,True,telephone,23,jul,97,6,-1,0,,False
33,self-employed,married,secondary,False,215,True,False,cellular,29,jul,543,12,-1,0,,False
30,management,single,tertiary,False,1372,False,False,cellular,20,nov,240,2,-1,0,,False
36,services,married,secondary,False,1981,False,False,,17,jun,48,2,-1,0,,False
23,student,single,secondary,False,9216,False,False,cellular,5,jun,471,2,-1,0,,False
57,retired,divorced,secondary,False,39,True,False,cellular,30,jul,354,3,-1,0,,False
27,blue-collar,single,secondary,False,5563,True,False,,30,may,435,2,-1,0,,False
38,services,married,secondary,False,1,False,True,cellular,21,nov,152,2,-1,0,,False
42,technician,married,tertiary,False,782,False,False,cellular,3,apr,285,1,-1,0,,False
75,retired,married,secondary,False,3771,False,False,telephone,15,apr,185,1,181,2,success,True
34,technician,single,tertiary,False,992,True,False,cellular,4,may,301,1,88,2,success,False
48,technician,married,secondary,False,1526,False,False,cellular,6,aug,273,2,-1,0,,False
35,technician,single,tertiary,False,2658,True,False,cellular,19,aug,768,2,141,3,failure,True
39,management,divorced,tertiary,False,1315,True,False,cellular,19,nov,1337,4,126,1,failure,False
29,blue-collar,single,tertiary,False,455,False,False,telephone,21,apr,403,1,-1,0,,True
45,technician,single,tertiary,False,0,True,False,cellular,18,nov,139,2,-1,0,,False
42,technician,married,secondary,False,2030,True,True,cellular,9,jul,196,1,-1,0,,False
29,technician,married,secondary,False,1599,True,False,cellular,8,jul,115,1,61,1,failure,False
38,services,single,secondary,False,-196,True,False,cellular,2,feb,60,1,271,1,failure,False
56,retired,married,secondary,False,1333,False,False,cellular,28,aug,17,14,-1,0,,False
36,technician,single,secondary,False,9149,True,False,cellular,13,aug,141,3,-1,0,,False
25,blue-collar,single,secondary,False,-350,True,False,,23,jun,95,3,-1,0,,False
38,technician,married,tertiary,False,432,True,False,cellular,15,may,10,2,373,1,other,False
57,self-employed,married,secondary,False,11494,False,False,cellular,19,nov,198,1,-1,0,,False
31,management,married,tertiary,True,-253,False,False,cellular,12,aug,220,4,-1,0,,False
42,management,married,tertiary,False,372,True,False,cellular,3,aug,654,2,-1,0,,True
45,technician,married,secondary,False,1410,False,False,cellular,11,aug,71,2,-1,0,,False
30,blue-collar,married,secondary,False,975,True,False,cellular,13,may,256,2,351,2,failure,False
49,blue-collar,married,primary,False,305,True,True,telephone,10,jul,834,10,-1,0,,False
49,services,married,secondary,False,400,False,False,cellular,21,aug,151,3,-1,0,,False
53,retired,married,tertiary,False,-22,True,False,cellular,31,jul,20,3,-1,0,,False
37,technician,married,secondary,False,4030,True,False,,26,may,178,5,-1,0,,False
49,blue-collar,married,primary,False,365,False,False,,26,may,59,2,-1,0,,False
41,self-employed,married,primary,False,204,False,False,cellular,13,aug,111,7,-1,0,,False
54,management,married,primary,False,1691,True,False,cellular,20,nov,186,1,-1,0,,False
32,services,single,secondary,False,406,True,False,,6,may,227,1,-1,0,,False
33,technician,married,secondary,False,-204,False,False,cellular,15,may,297,3,-1,0,,False
33,technician,married,secondary,False,359,True,False,cellular,20,apr,210,1,242,1,other,False
36,blue-collar,married,primary,False,123,True,False,cellular,18,may,9,1,-1,0,,False
35,technician,married,tertiary,False,0,True,True,cellular,23,sep,112,1,62,6,other,False
52,,married,secondary,False,142,False,False,cellular,25,aug,112,6,-1,0,,False
40,entrepreneur,married,tertiary,False,3571,False,False,,9,jun,222,3,-1,0,,False
44,technician,single,secondary,False,33,True,False,cellular,13,may,195,3,351,10,failure,False
45,blue-collar,single,secondary,False,0,True,False,cellular,26,jul,768,2,91,5,success,False
30,student,single,secondary,False,3096,False,False,cellular,26,jan,123,1,-1,0,,False
48,technician,divorced,secondary,True,20,False,False,cellular,27,aug,145,3,-1,0,,False
33,blue-collar,married,secondary,False,3576,True,False,cellular,2,apr,124,1,308,2,other,False
57,technician,married,,False,206,True,False,,5,may,216,3,-1,0,,False
57,housemaid,married,primary,False,7082,False,False,,6,jun,69,3,-1,0,,False
51,unemployed,married,tertiary,False,1634,True,False,cellular,22,jul,168,4,-1,0,,False
34,admin.,single,secondary,False,1,True,False,cellular,22,jul,483,7,-1,0,,False
50,self-employed,married,tertiary,False,4012,False,False,cellular,19,nov,690,3,-1,0,,False
44,management,married,tertiary,False,3762,False,False,cellular,28,aug,125,12,-1,0,,False
27,admin.,married,secondary,False,-247,True,True,,4,jun,344,2,-1,0,,False
50,blue-collar,married,secondary,False,606,True,False,,14,may,673,2,-1,0,,False
36,management,married,tertiary,False,0,True,False,cellular,28,jan,60,1,250,1,other,False
42,management,married,secondary,False,-189,True,False,,12,may,247,2,-1,0,,False
32,unemployed,single,secondary,False,0,False,False,cellular,27,may,123,2,-1,0,,False
42,management,married,tertiary,False,484,True,False,cellular,11,jul,144,2,-1,0,,False
43,technician,married,secondary,False,0,False,True,cellular,8,may,9,2,172,5,failure,False
31,management,married,tertiary,False,395,True,False,cellular,9,feb,155,3,-1,0,,False
32,management,married,tertiary,False,2349,False,False,cellular,14,aug,134,5,-1,0,,False
55,blue-collar,divorced,primary,False,410,False,True,cellular,11,jul,221,2,-1,0,,False
58,retired,married,primary,False,3401,True,False,cellular,3,feb,84,3,265,2,failure,False
46,blue-collar,married,primary,False,222,False,False,cellular,8,aug,71,2,-1,0,,False
55,blue-collar,married,secondary,False,989,True,True,,23,may,246,4,-1,0,,False
34,management,married,tertiary,False,415,False,True,cellular,23,jul,361,2,-1,0,,False
28,unemployed,single,secondary,False,16,False,False,cellular,12,aug,119,4,-1,0,,False
42,technician,divorced,tertiary,False,7190,True,False,cellular,29,jul,375,2,-1,0,,False
29,blue-collar,single,secondary,False,482,False,True,cellular,10,jul,1097,3,-1,0,,True
54,housemaid,married,secondary,False,209,True,True,cellular,25,jul,97,1,-1,0,,False
32,technician,single,secondary,False,0,False,False,cellular,26,aug,181,2,-1,0,,False
39,technician,single,tertiary,False,5803,False,False,cellular,2,feb,83,3,-1,0,,False
53,entrepreneur,married,tertiary,False,624,False,True,cellular,21,jul,180,4,-1,0,,False
58,technician,married,tertiary,False,883,False,False,cellular,18,aug,543,1,78,2,failure,False
40,self-employed,married,secondary,False,1516,True,True,,23,may,373,1,-1,0,,False
29,student,single,secondary,False,872,True,False,,7,may,230,1,-1,0,,False
33,technician,married,tertiary,False,-988,True,True,cellular,15,jul,83,3,-1,0,,False
38,admin.,single,secondary,False,902,True,False,telephone,31,jul,58,13,-1,0,,False
56,services,divorced,secondary,False,1007,False,False,cellular,29,jul,88,6,-1,0,,False
40,services,married,secondary,False,0,True,False,cellular,2,jun,297,1,28,3,failure,False
24,blue-collar,single,secondary,False,174,True,True,cellular,18,may,487,1,-1,0,,True
46,management,married,secondary,False,12186,False,False,,20,jun,29,3,-1,0,,False
35,self-employed,married,secondary,False,524,True,False,cellular,21,nov,484,4,-1,0,,False
35,blue-collar,single,tertiary,False,0,True,False,cellular,21,jul,262,4,-1,0,,False
34,technician,married,secondary,False,4,True,False,,15,may,644,1,-1,0,,False
35,housemaid,married,tertiary,False,11219,False,False,cellular,12,aug,699,2,79,1,failure,False
38,technician,single,tertiary,False,0,False,False,cellular,28,aug,247,2,-1,0,,False
50,blue-collar,married,primary,False,5776,False,False,cellular,18,nov,49,3,-1,0,,False
51,blue-collar,divorced,primary,False,37,True,False,cellular,13,may,341,1,-1,0,,False
59,self-employed,married,tertiary,False,593,False,False,,13,may,64,2,-1,0,,False
32,blue-collar,married,secondary,False,1148,True,False,cellular,20,apr,121,1,-1,0,,False
37,blue-collar,single,secondary,False,3561,True,False,,2,jun,98,1,-1,0,,False
42,admin.,divorced,secondary,False,63,False,False,,16,may,88,6,-1,0,,False
40,student,married,secondary,False,260,False,False,,20,jun,197,6,-1,0,,False
28,technician,single,tertiary,False,2269,True,False,,9,may,331,1,-1,0,,False
47,admin.,married,secondary,False,1060,True,False,,6,jun,83,3,-1,0,,False
27,self-employed,married,secondary,False,-220,True,False,,26,may,138,2,-1,0,,False
41,management,married,tertiary,False,49,True,False,cellular,17,jul,312,5,-1,0,,False
34,admin.,married,tertiary,False,69,False,True,cellular,4,aug,120,3,1,6,success,True
50,blue-collar,married,primary,False,4108,True,False,cellular,7,aug,526,2,-1,0,,True
47,blue-collar,married,secondary,False,480,True,False,,28,may,211,2,-1,0,,False
53,services,married,secondary,False,4994,False,False,cellular,18,aug,62,6,-1,0,,False
53,technician,divorced,secondary,False,0,True,True,cellular,15,jul,135,5,-1,0,,False
47,management,married,tertiary,False,3681,False,False,cellular,14,aug,101,2,-1,0,,False
49,entrepreneur,divorced,,True,-701,True,False,cellular,30,jul,988,2,-1,0,,True
29,management,married,tertiary,False,451,False,False,cellular,28,jan,451,1,-1,0,,False
45,blue-collar,divorced,primary,False,-311,True,False,,23,may,1030,1,-1,0,,True
38,entrepreneur,married,secondary,False,593,True,True,cellular,24,jul,1484,24,-1,0,,True
32,blue-collar,married,secondary,False,759,True,False,cellular,9,apr,317,5,-1,0,,True
70,retired,divorced,primary,False,4531,False,False,cellular,18,may,445,1,-1,0,,False
65,retired,divorced,primary,False,1840,False,False,cellular,1,jun,383,2,188,5,failure,False
56,blue-collar,married,secondary,False,345,True,False,telephone,22,jul,605,1,-1,0,,False
35,blue-collar,married,secondary,False,1287,True,False,cellular,14,jul,330,2,-1,0,,False
56,management,married,,False,353,False,True,cellular,25,jul,171,2,-1,0,,False
56,technician,married,secondary,False,205,False,True,cellular,23,jul,442,2,-1,0,,False
49,entrepreneur,married,secondary,False,687,True,False,cellular,17,apr,772,1,-1,0,,True
38,unemployed,married,primary,False,1147,True,True,,8,may,249,5,-1,0,,False
35,management,married,tertiary,False,4286,True,False,,9,may,357,1,-1,0,,False
38,admin.,married,tertiary,False,605,False,False,cellular,18,nov,147,2,-1,0,,False
49,blue-collar,married,secondary,False,8545,True,True,cellular,6,may,199,7,167,1,failure,False
55,management,married,,False,559,False,False,cellular,28,jan,271,2,-1,0,,False
43,blue-collar,single,primary,False,2,True,False,cellular,30,jul,783,3,-1,0,,False
43,management,married,tertiary,False,2,False,True,cellular,20,aug,472,2,-1,0,,False
25,admin.,single,tertiary,False,760,True,False,cellular,27,may,223,3,89,2,failure,True
30,blue-collar,married,primary,False,1317,True,False,,21,may,395,2,-1,0,,False
46,blue-collar,married,secondary,False,182,False,False,cellular,4,feb,56,1,-1,0,,False
50,admin.,married,primary,False,276,False,True,,17,jun,641,6,-1,0,,False
35,entrepreneur,married,secondary,False,2971,False,False,cellular,4,may,429,4,164,2,failure,True
26,unemployed,single,secondary,False,1064,False,False,,31,may,113,1,-1,0,,False
45,admin.,married,,False,1783,False,False,,20,jun,11,11,-1,0,,False
37,blue-collar,married,secondary,False,-67,False,False,cellular,2,feb,157,1,-1,0,,False
60,self-employed,single,tertiary,False,179,False,True,cellular,29,jul,79,4,-1,0,,False
38,management,married,tertiary,False,1199,False,False,cellular,4,aug,178,1,1,1,success,True
47,blue-collar,married,primary,False,214,True,True,,9,jun,168,1,-1,0,,False
33,technician,married,secondary,False,6699,False,False,cellular,9,nov,425,1,462,1,failure,False
51,unemployed,married,secondary,False,1760,False,True,cellular,19,nov,162,1,-1,0,,False
35,entrepreneur,single,tertiary,False,145,True,False,cellular,18,jul,799,2,-1,0,,True
35,unemployed,married,secondary,False,978,False,False,cellular,29,dec,1370,3,209,3,success,True
48,admin.,single,secondary,False,1150,True,False,,28,may,357,1,-1,0,,False
37,admin.,married,secondary,False,121,False,False,cellular,22,jul,22,6,-1,0,,False
29,technician,single,tertiary,False,828,True,False,cellular,16,apr,215,3,321,3,other,False
34,admin.,married,secondary,False,244,True,False,cellular,31,jul,56,4,-1,0,,False
32,services,married,primary,False,228,True,False,cellular,21,jul,1017,6,-1,0,,True
30,management,single,tertiary,False,424,False,False,cellular,16,apr,298,4,-1,0,,True
47,management,divorced,tertiary,False,447,False,True,,7,may,126,1,-1,0,,False
33,blue-collar,married,primary,False,-195,False,False,,20,sep,9,1,-1,0,,False
33,management,single,tertiary,False,1410,True,False,cellular,5,feb,8,1,254,5,failure,False
63,retired,married,primary,False,1084,False,False,cellular,14,oct,201,1,183,1,success,False
51,self-employed,divorced,primary,False,10924,False,False,cellular,6,may,106,2,-1,0,,False
